name,value
Consumer Electronics,consumer-electronics
Banks—Diversified,banksdiversified
Internet Retail,internet-retail
Telecom Services,telecom-services
Internet Content & Information,internet-content-information
Tobacco,tobacco
Airlines,airlines
Aluminum,aluminum
Credit Services,credit-services
Chemicals,chemicals
Medical Devices,medical-devices
Apparel Manufacturing,apparel-manufacturing
Semiconductor Equipment & Materials,semiconductor-equipment-materials
Drug Manufacturers—General,drug-manufacturersgeneral
Insurance—Diversified,insurancediversified
Insurance—Property & Casualty,insuranceproperty-casualty
Software—Infrastructure,softwareinfrastructure
Information Technology Services,information-technology-services
Steel,steel
Drugs - Generic,drugs-generic
Oil & Gas E&P,oil-gas-ep
Staffing & Employment Services,staffing-employment-services
REIT—Mortgage,reitmortgage
Electronic Gaming & Multimedia,electronic-gaming-multimedia
Software—Application,softwareapplication
Farm Products,farm-products
Pharmaceutical Retailers,pharmaceutical-retailers
Biotechnology,biotechnology
Semiconductors,semiconductors
Utilities—Regulated Electric,utilitiesregulated-electric
Banks—Regional,banksregional
Gold,gold
Apparel Retail,apparel-retail
Diagnostics & Research,diagnostics-research
Specialty Retail,specialty-retail
Auto & Truck Dealerships,auto-truck-dealerships
Utilities—Diversified,utilitiesdiversified
Beverages—Brewers,beveragesbrewers
Medical Instruments & Supplies,medical-instruments-supplies
Steel & Iron,steel-iron
Asset Management,asset-management
Insurance—Life,insurancelife
Household & Personal Products,household-personal-products
Capital Markets,capital-markets
Utilities—Regulated Water,utilitiesregulated-water
Oil & Gas Midstream,oil-gas-midstream
Marine Shipping,marine-shipping
Mortgage Finance,mortgage-finance
REIT—Residential,reitresidential
Thermal Coal,thermal-coal
Healthcare Plans,healthcare-plans
Silver,silver
Medical Distribution,medical-distribution
Metal Fabrication,metal-fabrication
Security & Protection Services,security-protection-services
Business Equipment & Supplies,business-equipment-supplies
Specialty Business Services,specialty-business-services
Utilities—Regulated Gas,utilitiesregulated-gas
Insurance Brokers,insurance-brokers
REIT—Retail,reitretail
Electrical Equipment & Parts,electrical-equipment-parts
REIT—Specialty,reitspecialty
Engineering & Construction,engineering-construction
Electronics & Computer Distribution,electronics-computer-distribution
Entertainment,entertainment
Rental & Leasing Services,rental-leasing-services
Water Utilities,water-utilities
Consulting Services,consulting-services
Specialty Chemicals,specialty-chemicals
Insurance—Specialty,insurancespecialty
Electronic Components,electronic-components
Aerospace & Defense,aerospace-defense
Pollution & Treatment Controls,pollution-treatment-controls
Building Products & Equipment,building-products-equipment
Computer Hardware,computer-hardware
Farm & Heavy Construction Machinery,farm-heavy-construction-machinery
Publishing,publishing
Utilities—Independent Power Producers,utilitiesindependent-power-producers
Restaurants,restaurants
Railroads,railroads
Packaging & Containers,packaging-containers
Auto Parts,auto-parts
Drug Manufacturers—Specialty & Generic,drug-manufacturersspecialty-generic
Specialty Industrial Machinery,specialty-industrial-machinery
Broadcasting,broadcasting
REIT—Hotel & Motel,reithotel-motel
Food Distribution,food-distribution
Medical Care Facilities,medical-care-facilities
REIT—Diversified,reitdiversified
Airports & Air Services,airports-air-services
Health Information Services,health-information-services
"Furnishings, Fixtures & Appliances",furnishings-fixtures-appliances
Industrial Equipment Wholesale,industrial-equipment-wholesale
REIT—Healthcare Facilities,reithealthcare-facilities
Solar,solar
REIT—Office,reitoffice
Textile Manufacturing,textile-manufacturing
Communication Equipment,communication-equipment
Oil & Gas Equipment & Services,oil-gas-equipment-services
Oil & Gas Integrated,oil-gas-integrated
Waste Management,waste-management
Apparel Stores,apparel-stores
Industrial Distribution,industrial-distribution
Education & Training Services,education-training-services
Other Industrial Metals & Mining,other-industrial-metals-mining
Packaged Foods,packaged-foods
Integrated Freight & Logistics,integrated-freight-logistics
Industrial Electrical Equipment,industrial-electrical-equipment
Trucking,trucking
Lodging,lodging
Agricultural Inputs,agricultural-inputs
Insurance—Reinsurance,insurancereinsurance
Real Estate Services,real-estate-services
Scientific & Technical Instruments,scientific-technical-instruments
Footwear & Accessories,footwear-accessories
Oil & Gas Refining & Marketing,oil-gas-refining-marketing
Diversified Electronics,diversified-electronics
Beverages—Wineries & Distilleries,beverageswineries-distilleries
Auto Manufacturers - Major,auto-manufacturers-major
Real Estate—Diversified,real-estatediversified
Other Precious Metals & Mining,other-precious-metals-mining
Lumber & Wood Production,lumber-wood-production
REIT—Industrial,reitindustrial
Real Estate—Development,real-estatedevelopment
Auto Manufacturers,auto-manufacturers
Beverages—Non-Alcoholic,beveragesnon-alcoholic
Property & Casualty Insurance,property-casualty-insurance
Shell Companies,shell-companies
Home Improvement Retail,home-improvement-retail
Medical Laboratories & Research,medical-laboratories-research
Leisure,leisure
Conglomerates,conglomerates
Cigarettes,cigarettes
Tools & Accessories,tools-accessories
Multimedia & Graphics Software,multimedia-graphics-software
Residential Construction,residential-construction
Basic Materials Wholesale,basic-materials-wholesale
