name,value
Any,
United States,united-states
China,china
Ireland,ireland
Luxembourg,luxembourg
Germany,germany
Canada,canada
Switzerland,switzerland
United Kingdom,united-kingdom
Belgium,belgium
Denmark,denmark
Bermuda,bermuda
Netherlands,netherlands
South Africa,south-africa
Mexico,mexico
Taiwan,taiwan
Uruguay,uruguay
Spain,spain
Singapore,singapore
Sweden,sweden
Brazil,brazil
Israel,israel
Argentina,argentina
Monaco,monaco
Australia,australia
Turkey,turkey
Colombia,colombia
Chile,chile
New Zealand,new-zealand
Japan,japan
Norway,norway
Hong Kong,hong-kong
France,france
Austria,austria
Italy,italy
Thailand,thailand
Malaysia,malaysia
India,india
Greece,greece
South Korea,south-korea
Peru,peru
Panama,panama
Cayman Islands,cayman-islands
Indonesia,indonesia
Finland,finland
Bahamas,bahamas
Russia,russia
Philippines,philippines
Macau,macau
Portugal,portugal
United Arab Emirates,united-arab-emirates
Romania,romania
Guernsey,guernsey
Jersey,jersey
Netherlands Antilles,netherlands-antilles
Belize,belize
Poland,poland
Cambodia,cambodia
British Virgin Islands,british-virgin-islands
Papua New Guinea,papua-new-guinea
Gibraltar,gibraltar
Tanzania,tanzania
Cyprus,cyprus
Czech Republic,czech-republic
Lebanon,lebanon
Myanmar,myanmar
Malta,malta
Ghana,ghana
Mauritius,mauritius
Isle of Man,isle-of-man
Ukraine,ukraine
Dominican Republic,dominican-republic
Egypt,egypt
Anguilla,anguilla
Macedonia,macedonia
Hungary,hungary
Vietnam,vietnam
Channel Islands,channel-islands
Kazakhstan,kazakhstan
Any,
Profitable (Over 0),p_e_u
Low (<15),p_e_15
High (>50),p_e_50
Under 1,p_e_u_1
Under 3,p_e_u_3
Under 5,p_e_u_5
1 to 3,p_e_u_1_3
3 to 5,p_e_u_3_5
5 to 10,p_e_u_5_10
10 to 50,p_e_u_10_50
50 to 100,p_e_u_50_100
Over 1,p_e_o_1
Over 3,p_e_o_3
Over 5,p_e_o_5
Any,
Postive (>0%),roa_up
Negative (<0%),roa_d
0% to 5%,roa_up_0_5
5% to 10%,roa_up_5_10
10% to 25%,roa_up_10_25
25% to 50%,roa_up_25_50
50% to 100%,roa_up_50_100
Over +100%,roa_up_100
