name,value
United States,united-states
China,china
Ireland,ireland
Luxembourg,luxembourg
Germany,germany
Canada,canada
Switzerland,switzerland
United Kingdom,united-kingdom
Belgium,belgium
Denmark,denmark
Bermuda,bermuda
Netherlands,netherlands
South Africa,south-africa
Mexico,mexico
Taiwan,taiwan
Uruguay,uruguay
Spain,spain
Singapore,singapore
Sweden,sweden
Brazil,brazil
Israel,israel
Argentina,argentina
Monaco,monaco
Australia,australia
Turkey,turkey
Colombia,colombia
Chile,chile
New Zealand,new-zealand
Japan,japan
Norway,norway
Hong Kong,hong-kong
France,france
Austria,austria
Italy,italy
Thailand,thailand
Malaysia,malaysia
India,india
Greece,greece
South Korea,south-korea
Peru,peru
Panama,panama
Cayman Islands,cayman-islands
Indonesia,indonesia
Finland,finland
Bahamas,bahamas
Russia,russia
Philippines,philippines
Macau,macau
Portugal,portugal
United Arab Emirates,united-arab-emirates
Romania,romania
Guernsey,guernsey
Jersey,jersey
Netherlands Antilles,netherlands-antilles
Belize,belize
Poland,poland
Cambodia,cambodia
British Virgin Islands,british-virgin-islands
Papua New Guinea,papua-new-guinea
Gibraltar,gibraltar
Tanzania,tanzania
Cyprus,cyprus
Czech Republic,czech-republic
Lebanon,lebanon
Myanmar,myanmar
Malta,malta
Ghana,ghana
Mauritius,mauritius
Isle of Man,isle-of-man
Ukraine,ukraine
Dominican Republic,dominican-republic
Egypt,egypt
Anguilla,anguilla
Macedonia,macedonia
Hungary,hungary
Vietnam,vietnam
Channel Islands,channel-islands
Kazakhstan,kazakhstan
