ticker,company,country
CRESY,Cresud S.A.C.I.F. y A.,Argentina
BMA,Banco Macro S.A.,Argentina
TGS,Transportadora de Gas del Sur S,Argentina
PAM,Pampa Energia S.A. Pampa Energi,Argentina
GGAL,Grupo Financiero Galicia S.A.,Argentina
YPF,YPF Sociedad Anonima,Argentina
IRCP,IRSA Propiedades Comerciales S.,Argentina
SUPV,Grupo Supervielle S.A.,Argentina
BBAR,Banco BBVA Argentina S.A.,Argentina
LOMA,Loma Negra Compania Industrial,Argentina
CEPU,Central Puerto S.A.,Argentina
EDN,Empresa Distribuidora Y Comerci,Argentina
TEO,Telecom Argentina SA,Argentina
BIOX,Bioceres Crop Solutions Corp.,Argentina
IRS,IRSA Inversiones Y Representaci,Argentina
