ticker,company,country
TEAM,Atlassian Corporation,Australia
QUBSF,QANTAS AIRWAYS,Australia
NABZY,NATIONAL AUSTRALIA BANK SPONS A,Australia
CMWAY,COMMONWEALTH BANK OF AUSTRALIA,Australia
CBAUF,COMMONWEALTH BANK OF AUSTRALIA,Australia
BHP,BHP Group Limited,Australia
BBL,BHP Group PlcSponsored,Australia
SBMSF,DANAKALI LIMITED,Australia
EESH,EESTECH INC,Australia
CWGYF,CARNEGIE CLEAN ENERGY LTD,Australia
FSUMF,FORTESCUE METALS GROUP LTD,Australia
QBEIF,QBE INSURANCE GROUP,Australia
LLESF,LENDLEASE CORPORATION LIMITED,Australia
SNMCY,SUNCORP GROUP LIMITED SPON ADS,Australia
MQBKY,MACQUARIE GROUP LIMITED ADR EAC,Australia
LLESY,LENDLEASE CORPORATION LIMITED A,Australia
TLSYY,TELSTRA CORPORATION LTD SPON AD,Australia
MESO,Mesoblast Limited,Australia
WOPEY,WOODSIDE ENERGY GROUP LTD SPON,Australia
WOLWF,WOOLWORTHS GROUP LIMITED,Australia
PMNXF,PERSEUS MINING LIMITED,Australia
BMBLF,BRAMBLES LTD,Australia
BLSFF,BLUESCOPE STEEL LTD,Australia
WNARF,WESTERN AREAS LIMITED,Australia
WFAFY,WESFARMERS LTD ADR EACH REPR 0.,Australia
STOSF,SANTOS LIMITED,Australia
SILXY,SILEX SYSTEMS ADR EACH REP 5 OR,Australia
NCMGY,NEWCREST MINING SPON ADR EACH R,Australia
MMSDF,MACARTHUR MINERALS LIMITED,Australia
MLXEF,METALS X LIMITED,Australia
NAUBF,NATIONAL AUSTRALIA BANK,Australia
PSDNF,POSEIDON NICKEL,Australia
OGFGF,ORIGIN ENERGY LTD,Australia
OCLDY,ORICA UNSP ADR EACH REPR 1 ORD,Australia
OGFGY,ORIGIN ENERGY LTD UNSP ADR EACH,Australia
QBIEY,QBE INSURANCE GROUP SPON ADR EA,Australia
QABSY,QANTAS AIRWAYS SPON ADR EACH RE,Australia
GALXF,GALAXY RESOURCES,Australia
BNNLF,BANNERMAN ENERGY LTD,Australia
SYAAF,SYRAH RESOURCES LIMITED,Australia
WEBNF,WESTPAC BANKING CORPORATION,Australia
WYGPY,WORLEY LIMITED ADR EACH REPR 1,Australia
WYGPF,WORLEY LIMITED,Australia
WHITF,WHITEHAVEN COAL LIMITED,Australia
WFAFF,WESFARMERS LTD,Australia
TSRYY,TREASURY WINE ESTATES LTD SPON,Australia
EWCLF,ENERGY WORLD CORP,Australia
WFRSF,WEST AFRICAN RESOURCES LTD,Australia
WOPEF,WOODSIDE ENERGY GROUP LTD,Australia
ANZBY,AUSTRALIA & NEW ZEALAND BANK GR,Australia
ANEWF,ANZ GROUP HOLDINGS LIMITED,Australia
AGLNF,AGL ENERGY,Australia
AGLDF,AUSTRAL GOLD LIMITED,Australia
AINSF,AINSWORTH GAME TECHNOLOGY,Australia
AYSI,ALLOY STEEL INTERNATIONAL INC,Australia
AWCMF,ALUMINA LIMITED,Australia
