ticker,company,country
BUD,Anheuser-Busch Inbev SA Sponsor,Belgium
AGESY,AGEAS SPON ADR EACH REP 1 ORD (,Belgium
EURN,Euronav NV,Belgium
GLPG,Galapagos NV,Belgium
KBCSY,KBC GROEP NV UNSP ADR EA REPR 0,Belgium
KBCSF,KBC GROEP NV,Belgium
UCBJY,UCB S.A. UNSP ADR EACH REPR 0.5,Belgium
UMICY,UMICORE UNSP ADR EACH REP 0.25,Belgium
BGAOY,PROXIMUS SA UNSP ADR EACH REPR,Belgium
BPOSY,BPOST SA UNSP ADR EACH REP 1 OR,Belgium
CUYTY,COLRUYT SA UNSP ADR EA REPR 0.2,Belgium
GLPGF,GALAPAGOS NV,Belgium
MTLS,Materialise NV,Belgium
CYAD,Celyad Oncology SA,Belgium
MDXH,MDxHealth SA,Belgium
NYXH,Nyxoah SA,Belgium
GBLBY,GROUPE BRUXELLES LAMBERT UNSP A,Belgium
BUDFF,ANHEUSER-BUSCH INBEV SA/NV,Belgium
