ticker,company,country
NAT,Nordic American Tankers Limited,Bermuda
AGO,Assured Guaranty Ltd.,Bermuda
AXS,Axis Capital Holdings Limited,Bermuda
ACGL,Arch Capital Group Ltd.,Bermuda
ASC,Ardmore Shipping Corporation,Bermuda
BIP,Brookfield Infrastructure Partn,Bermuda
BPY,Brookfield Property Partners L.,Bermuda
J36.SI,JMH USD,Bermuda
TK,Teekay Corporation,Bermuda
DHT,"DHT Holdings, Inc.",Bermuda
RE,"Everest Re Group, Ltd.",Bermuda
ESNT,Essent Group Ltd.,Bermuda
SFL,SFL Corporation Ltd,Bermuda
LBTYA,Liberty Global plc,Bermuda
G,Genpact Limited,Bermuda
GLNG,Golar LNG Limited,Bermuda
LBTYK,Liberty Global plc,Bermuda
LILA,Liberty Latin America Ltd.,Bermuda
TGH,Textainer Group Holdings Limite,Bermuda
GOGL,Golden Ocean Group Limited,Bermuda
LILAK,Liberty Latin America Ltd.,Bermuda
MHLD,"Maiden Holdings, Ltd.",Bermuda
RNR,RenaissanceRe Holdings Ltd.,Bermuda
RNR-PE,RenaissanceRe Holdings Ltd. 5.3,Bermuda
AHL-PC,Aspen Insurance Holdings Limite,Bermuda
SYCRF,SYNCORA HLDGS LTD,Bermuda
SIG,Signet Jewelers Limited,Bermuda
JMHLY,JARDINE MATHESON HLDGS UNSPON A,Bermuda
JARLF,JARDINE MATHESON HLDGS,Bermuda
GFKSY,GULF KEYSTONE PETROLEUM SPON AD,Bermuda
GUKYF,GULF KEYSTONE PETROLEUM,Bermuda
TNK,Teekay Tankers Ltd.,Bermuda
TGP,Teekay LNG Partners L.P.,Bermuda
H78.SI,HongkongLand USD,Bermuda
MH-PC,"Maiden Holdings North America,",Bermuda
AVACF,AVANCE GAS HOLDING LIMITED,Bermuda
HNGKY,HONGKONG LAND HOLDINGS LTD UNSP,Bermuda
SAPLF,SYLVANIA PLATINUM LTD,Bermuda
EARS,Auris Medical Holding Ltd.,Bermuda
SDRLF,Seadrill Limited,Bermuda
TRTN,Triton International Limited,Bermuda
HMLP,Hoegh LNG Partners LP,Bermuda
CYTO,Altamira Therapeutics Ltd.,Bermuda
BORR,Borr Drilling Limited,Bermuda
NBR,Nabors Industries Ltd.,Bermuda
BAMR,Brookfield Asset Management Rei,Bermuda
VAL,Valaris Limited,Bermuda
FLNG,FLEX LNG Ltd.,Bermuda
ATH,Athene Holding Ltd.,Bermuda
ARGO,Argo Group International Holdin,Bermuda
JRVR,"James River Group Holdings, Ltd",Bermuda
BBU,Brookfield Business Partners L.,Bermuda
HCXLY,HISCOX UNSP ADR EACH REP 2 ORD,Bermuda
WTM,White Mountains Insurance Group,Bermuda
ESGR,Enstar Group Limited,Bermuda
SDRL,Seadrill Limited,Bermuda
NTB,Bank of N.T. Butterfield & Son,Bermuda
SPNT,SiriusPoint Ltd.,Bermuda
ESGRP,Enstar Group Limited - Deposita,Bermuda
ESGRO,Enstar Group Limited - Deposito,Bermuda
BPYPP,Brookfield Property Partners L.,Bermuda
EG,"Everest Group, Ltd.",Bermuda
ACGLO,Arch Capital Group Ltd. - Depos,Bermuda
