ticker,company,country
ABEV,Ambev S.A.,Brazil
GOL,Gol Linhas Aereas Inteligentes,Brazil
PBR,Petroleo Brasileiro S.A.- Petro,Brazil
BBD,Banco Bradesco Sa,Brazil
BAK,Braskem SA,Brazil
BSBR,Banco Santander Brasil SA,Brazil
SBS,Companhia de saneamento Basico,Brazil
CBD,Companhia Brasileira de Distrib,Brazil
BRFS,BRF S.A.,Brazil
PBR-A,Petroleo Brasileiro S.A.- Petro,Brazil
SID,Companhia Siderurgica Nacional,Brazil
CIG,Comp En De Mn Cemig,Brazil
ELP,Companhia Paranaense de Energia,Brazil
BDORY,BANCO DO BRASIL SA SPONS ADR EA,Brazil
USNZY,USINAS SID MINAS GERAIS USIMINA,Brazil
ERJ,Embraer S.A.,Brazil
EQUEY,EQUATORIAL ENERGIA SA SPON ADR,Brazil
CYRBY,CYRELA BRAZIL REALTY SA EMPREEN,Brazil
GGB,Gerdau S.A.,Brazil
ITUB,Itau Unibanco Banco Holding SA,Brazil
JBSAY,JBS SA SPON ADR EACH REP 2 ORD,Brazil
KLBAY,KLABIN SA SPONS ADR-EACH REPR 2,Brazil
UGP,Ultrapar Participacoes S.A. (Ne,Brazil
LZRFY,LOCALIZA RENT A CAR SA SPON ADR,Brazil
VALE,VALE S.A.,Brazil
VSTA,Vasta Platform Limited,Brazil
SLCJY,SLC AGRICOLA SA SPONS ADS EA RE,Brazil
AMHPF,VERDE AGRITECH LTD,Brazil
BBSEY,BB SEGURIDADE PARTICIPACOES SA,Brazil
CIOXY,CIELO SA SPON ADR EACH REP 1 OR,Brazil
MRRTY,MARFRIG GLOBAL FOODS SA SPON AD,Brazil
HYPMY,HYPERA SA SPON ADR EA REPR 1 OR,Brazil
LGSXY,LIGHT S.A. SPONS ADR EACH REPR,Brazil
AZUL,Azul S.A.,Brazil
VINP,Vinci Partners Investments Ltd.,Brazil
PAGS,PagSeguro Digital Ltd.,Brazil
EBR,Centrais Electricas Brasileiras,Brazil
MGLUY,MAGAZINE LUIZA SA UNSP ADS EACH,Brazil
ZENV,Zenvia Inc.,Brazil
BBDO,Banco Bradesco Sa,Brazil
LRENY,LOJAS RENNER SA SPON ADR EACH R,Brazil
SGML,Sigma Lithium Corporation,Brazil
NTCO,Natura &Co Holding S.A.,Brazil
SUZ,Suzano S.A.,Brazil
VIV,Telefonica Brasil S.A.,Brazil
CINT,CI&T Inc,Brazil
ARCE,Arco Platform Limited,Brazil
ASAI,Sendas Distribuidora S A,Brazil
NU,Nu Holdings Ltd.,Brazil
GET,Getnet Adquirencia e Servicos p,Brazil
OIBRQ,OI SA SPON ADR EACH REP 0.10 OR,Brazil
WEGZY,WEG SA SPON ADR EA REPR 1 ORD S,Brazil
LND,Brasilagro Brazilian Agric Real,Brazil
INTR,Inter & Co. Inc.,Brazil
EGIEY,ENGIE BRASIL ENERGIA SA SPON AD,Brazil
STIX,"Semantix, Inc.",Brazil
ATLX,Atlas Lithium Corporation,Brazil
OIBZQ,Oi S.A.,Brazil
RADLY,RAIA DROGASIL SA SPON ADR EACH,Brazil
AMBI,Ambipar Emergency Response,Brazil
LVRO,Lavoro Limited,Brazil
AFYA,Afya Limited,Brazil
CREC,Crescera Capital Acquisition Co,Brazil
