ticker,company,country
AEM,Agnico Eagle Mines Limited,Canada
LULU,lululemon athletica inc.,Canada
AG,First Majestic Silver Corp.,Canada
AUY,Yamana Gold Inc.,Canada
BAM,Brookfield Asset Management Inc,Canada
AEZS,Aeterna Zentaris Inc.,Canada
PAAS,Pan American Silver Corp.,Canada
AGI,Alamos Gold Inc.,Canada
APT,"Alpha Pro Tech, Ltd.",Canada
GIL,"Gildan Activewear, Inc.",Canada
AUPH,Aurinia Pharmaceuticals Inc,Canada
NOA,North American Construction Gro,Canada
AXU,Alexco Resource Corp,Canada
APTO,"Aptose Biosciences, Inc.",Canada
AAU,"Almaden Minerals, Ltd.",Canada
AUNFF,AURCANA SILVER CORPORATION,Canada
ACDVF,AIR CANADA,Canada
ARNGF,ARGONAUT GOLD INC,Canada
APEOF,COLOURED TIES CAPITAL INC,Canada
HGHAF,HIGH ARCTIC ENERGY SERVICES INC,Canada
FLYLF,FLYHT AEROSPACE SOLUTIONS LTD,Canada
COGLF,CHELSEA OIL & GAS LTD,Canada
ATUSF,ALTIUS MINERALS CORP,Canada
ASWRF,GUNGNIR RES INC,Canada
ARREF,AMERIGO RESOURCES CORP,Canada
AGGZF,AG GROWTH INTERNATIONAL INC,Canada
AETUF,ARC RESOURCES LTD,Canada
AABVF,ABERDEEN INTERNATIONAL INC,Canada
YWRLF,DIXIE GOLD INC,Canada
BMO,Bank Of Montreal,Canada
TD,Toronto Dominion Bank (The),Canada
RY,Royal Bank Of Canada,Canada
BCE,"BCE, Inc.",Canada
CM,Canadian Imperial Bank of Comme,Canada
BLDP,"Ballard Power Systems, Inc.",Canada
BNS,Bank Nova Scotia Halifax Pfd 3,Canada
BTG,B2Gold Corp,Canada
QSR,Restaurant Brands International,Canada
NEPT,Neptune Wellness Solutions Inc.,Canada
BLOZF,CANNABIX TECHNOLOGIES INC,Canada
BDRBF,BOMBARDIER INC,Canada
IDGBF,INDIGO BOOKS & MUSIC INC,Canada
BIREF,BIRCHCLIFF ENERGY,Canada
NTIOF,NATIONAL BANK OF CANADA,Canada
CSIQ,Canadian Solar Inc.,Canada
CP,Canadian Pacific Kansas City Li,Canada
CNI,Canadian National Railway Compa,Canada
TRP,TC Energy Corporation,Canada
MFC,Manulife Financial Corporation,Canada
ERF,Enerplus Corporation,Canada
CNQ,Canadian Natural Resources Limi,Canada
IMAX,Imax Corporation,Canada
CCJ,Cameco Corporation,Canada
TRI,Thomson Reuters Corp,Canada
EGO,Eldorado Gold Corporation,Canada
KGC,Kinross Gold Corporation,Canada
IAG,Iamgold Corporation,Canada
TU,Telus Corporation,Canada
GIB,CGI Inc.,Canada
EXK,Endeavour Silver Corporation,Canada
OTEX,Open Text Corporation,Canada
RCI,"Rogers Communication, Inc.",Canada
MEOH,Methanex Corporation,Canada
CPG,Crescent Point Energy Corporati,Canada
SJR,Shaw Communications Inc.,Canada
DNN,Denison Mines Corp,Canada
CAE,CAE Inc.,Canada
PBA,Pembina Pipeline Corp.,Canada
CVE,Cenovus Energy Inc,Canada
FNV,Franco-Nevada Corporation,Canada
CLS,"Celestica, Inc.",Canada
CIO,"City Office REIT, Inc.",Canada
TRX,TRX Gold Corporation,Canada
PDS,Precision Drilling Corporation,Canada
GSV,Gold Standard Ventures Corporat,Canada
HREEF,STANS ENERGY CORP,Canada
DSGX,The Descartes Systems Group Inc,Canada
NAK,"Northern Dynasty Minerals, Ltd.",Canada
DTEA,DAVIDsTEA Inc.,Canada
BEVFF,DIVERSIFIED RTY CORP,Canada
VPTDF,VENTRIPOINT DIAGNOSTICS LTD,Canada
DVSPF,DIVIDEND 15 SPLIT CORP,Canada
DTSRF,ETHER CAPITAL CORPORATION,Canada
DSNY,DESTINY MEDIA TECHNOLOGIES INC,Canada
DSGT,DSG GLOBAL INC,Canada
DRRSF,ARIANNE PHOSPHATE INC,Canada
DREUF,DREAM INDL REAL ESTATE INVT TR,Canada
DPMLF,DUNDEE PRECIOUS METALS INC,Canada
DOLLF,DOLLY VARDEN SILVER CORP,Canada
DMIFF,DIAMCOR MINING INC,Canada
DJIFF,HELIOSX LITHIUM & TECHNOLOGIES,Canada
DDEJF,DUNDEE CORPORATION,Canada
ASXSF,ELYSEE DEVELOPMENT CORP,Canada
AKTAF,AKITA DRILLING LTD,Canada
SQIDF,SQI DIAGNOSTICS INC,Canada
PEYUF,PEYTO EXPLORATION & DEVELOP COR,Canada
MJDLF,MAJOR DRILLING GROUP INTL INC,Canada
LUCRF,LUCARA DIAMOND CORP,Canada
GZDIF,GRIZZLY DISCOVERIES INC,Canada
GODYF,FIRST TELLURIUM CORP,Canada
EUGFF,DUNDEE ENERGY LTD,Canada
ERDCF,ERDENE RESOURCE DEVELOPMENT COR,Canada
SU,Suncor Energy  Inc.,Canada
ENB,Enbridge Inc,Canada
GTE,Gran Tierra Energy Inc.,Canada
SVLT,SUNVAULT ENERGY INC,Canada
EEYUF,ESSENTIAL ENERGY SERVICES LTD,Canada
CJREF,CORUS ENTERTAINMENT INC,Canada
FNEC,FIRST NATIONAL ENERGY CORPORATI,Canada
ETHOF,PROSPECTOR METALS CORP,Canada
CNNEF,CANACOL ENERGY LTD,Canada
NMREF,NAMIBIA CRITICAL METALS INC,Canada
MIDLF,MIDLAND EXPLORATIONS INC,Canada
MEGEF,MEG ENERGY CORP,Canada
ELYGF,ELY GOLD ROYALTIES INC,Canada
CESDF,CES ENERGY SOLUTIONS CORP,Canada
ZPTAF,SURGE ENERGY INC,Canada
TOTZF,TOTAL ENERGY SERVICES INC,Canada
SMBZF,SIMBA ESSEL ENERGY INC,Canada
RIOCF,RIOCAN REAL ESTATE INVESTMENT T,Canada
RAREF,CANADA RARE EARTH CORP,Canada
PGXPF,PELANGIO EXPLORATION INC,Canada
NSFDF,NXT ENERGY SOLUTIONS INC,Canada
