ticker,company,country
BGNE,"BeiGene, Ltd.",Cayman Islands
CWCO,Consolidated Water Co. Ltd.,Cayman Islands
GLRE,"Greenlight Reinsurance, Ltd.",Cayman Islands
FDP,"Fresh Del Monte Produce, Inc.",Cayman Islands
FN,Fabrinet,Cayman Islands
MBCFF,ITAFOS INC,Cayman Islands
NM,Navios Maritime Holdings Inc.,Cayman Islands
NM-PH,Navios Maritime Holdings Inc. S,Cayman Islands
TETHF,TETHYS PETROLEUM LIMITED,Cayman Islands
CUP-U.TO,CARIBBEAN UTIL US,Cayman Islands
STNE,StoneCo Ltd.,Cayman Islands
XP,XP Inc.,Cayman Islands
OXBR,Oxbridge Re Holdings Limited,Cayman Islands
OIIM,O2Micro International Limited,Cayman Islands
MITO,Stealth BioTherapeutics Corp.,Cayman Islands
NNA,Navios Maritime Acquisition Cor,Cayman Islands
IMPX,AEA-Bridges Impact Corp.,Cayman Islands
CRDO,Credo Technology Group Holding,Cayman Islands
PAX,Patria Investments Limited,Cayman Islands
VYGG,Vy Global Growth,Cayman Islands
RAM,Aries I Acquisition Corporation,Cayman Islands
BCSA,Blockchain Coinvestors Acquisit,Cayman Islands
VENA,Venus Acquisition Corporation,Cayman Islands
GAQ,Generation Asia I Acquisition L,Cayman Islands
