ticker,company,country
BABA,Alibaba Group Holding Limited,China
ACH,Aluminum Corporation of China L,China
HOLI,Hollysys Automation Technologie,China
ATHM,Autohome Inc.,China
ZNH,China Southern Airlines Company,China
CAAS,"China Automotive Systems, Inc.",China
CALI,CHINA AUTO LOGISTICS,China
ANPDF,ANTA SPORTS PRODUCTS,China
AACAY,AAC TECHNOLOGIES HOLDINGS INC U,China
ALMMF,ALUMINUM CORP OF CHINA(CHALCO),China
AHCHY,ANHUI CONCH CEMENT UNSP ADR EAC,China
BIDU,"Baidu, Inc.",China
BZUN,Baozun Inc.,China
BRLI,Brilliant Acquisition Corporati,China
KWBT,KIWA BIO-TECH PRODUCTS GROUP CO,China
BWOWF,WOWJOINT HOLDINGS LIMITED,China
BEST,BEST Inc.,China
BACHY,BANK OF CHINA LTD UNSP ADR EACH,China
TSGTF,TSINGTAO BREWERY CO,China
CICHY,CHINA CONSTRUCTION BANK UNSP AD,China
WB,Weibo Corporation,China
SNP,China Petroleum & Chemical Corp,China
XIN,Xinyuan Real Estate Co Ltd,China
JKS,JinkoSolar Holding Company Limi,China
UTSI,UTStarcom Holdings Corp,China
PTR,PetroChina Company Limited,China
CXDC,CHINA XD PLASTICS COMPANY LIMIT,China
LFC,China Life Insurance Company Li,China
HTHT,H World Group Limited,China
DQ,DAQO New Energy Corp.,China
TOUR,Tuniu Corporation,China
CSUAY,CHINA SHENHUA ENERGY COMPANY LT,China
CMCM,Cheetah Mobile Inc.,China
CNET,ZW Data Action Technologies Inc,China
DEER,DEER CONSUMER PRODUCTS INC,China
EDU,New Oriental Education & Techno,China
SRRE,SUNRISE REAL ESTATE GROUP INC,China
CUAEF,CHINA SHENHUA ENERGY COMPANY LT,China
FENG,Phoenix New Media Limited,China
NIO,NIO Inc.,China
CMFO,CHINA MARINE FOOD GROUP LIMITED,China
KNDI,"Kandi Technologies Group, Inc.",China
TAL,TAL Education Group,China
VNET,"VNET Group, Inc.",China
VIPS,Vipshop Holdings Limited,China
NOAH,Noah Holdings Limited,China
HNP,Huaneng Power Intl,China
LEJU,Leju Holdings Limited,China
TCTZF,TENCENT HOLDINGS LIMITED,China
JP,Jupai Holdings Limited,China
TCEHY,TENCENT HOLDINGS LIMITED UNSP A,China
HERB,YASHENG GROUP,China
CICOY,COSCO SHIPPING HOLDINGS UNSP AD,China
TCYMF,TINGYI(CAYMAN ISLANDS)HLDG CORP,China
SNYYF,SANY HEAVY EQUIPMENT INTL HLDG,China
SOHU,Sohu.com Limited,China
NTES,"NetEase, Inc.",China
JD,"JD.com, Inc.",China
JOBS,"51job, Inc.",China
KGJI,Kingold Jewelry Inc.,China
JADA,JADE ART GROUP INC,China
YRD,Yiren Digital Ltd.,China
XNET,Xunlei Limited,China
BYDDF,BYD COMPANY LIMITED,China
TSGTY,TSINGTAO BREWERY CO SPNS ADR EA,China
MOMO,Hello Group Inc.,China
NTP,Nam Tai Property Inc.,China
IDCBY,INDUSTRIAL & COMMERCIAL BK OF C,China
IDCBF,INDUSTRIAL & COMMERCIAL BK OF C,China
ACGBY,AGRICULTURAL BANK OF CHINA UNSP,China
PNGAY,PING AN INSURANCE(GROUP)CO.OF C,China
BACHF,BANK OF CHINA LTD,China
ACGBF,AGRICULTURAL BANK OF CHINA,China
RINO,RINO INTERNATIONAL CORPORATION,China
GNGYF,GUANGSHEN RAILWAY CO,China
SUWN,SUNWIN STEVIA INTERNATIONAL INC,China
T14.SI,Tianjin ZX USD,China
GWLLY,GREAT WALL MOTOR COMPANY LIMITE,China
WQTEF,WEIQIAO TEXTILE CO,China
SHWGF,SHANDONG WEIGAO GROUP MEDICAL,China
GWLLF,GREAT WALL MOTOR COMPANY LIMITE,China
SHWGY,SHANDONG WEIGAO GROUP MEDICAL U,China
WEICY,WEICHAI POWER CO,China
XJNGF,XINJIANG GOLDWIND SCIENCE&TECHN,China
XNGSY,ENN ENERGY HOLDINGS LTD UNSP AD,China
SYUP,ANBC INC,China
YZCFF,SINOPEC OILFIELD SERVICE CORPOR,China
YSHLF,YANGZIJIANG SHIPBUILDING,China
ZTCOY,ZTE CORPORATION UNSP ADR EACH R,China
ZTCOF,ZTE CORPORATION,China
ZIJMF,ZIJIN MINING GROUP CO.LTD,China
ZHEXF,ZHEJIANG EXPRESSWAY CO,China
ZLIOY,ZOOMLION HEAVY IND SC&TH CO LTD,China
SIAF,SINO AGRO FOODS INC,China
AHCHF,ANHUI CONCH CEMENT,China
AICAF,AIR CHINA LTD,China
AIDA,AIDA PHARMA INC,China
BJCHF,BEIJING CAPITAL INT AIRPORT,China
CHKIF,CHINA SOUTHERN AIRLINES COMPANY,China
ANGGF,ANGANG STEEL CO LTD,China
PPCCY,PICC PROPERTY & CASUALTY CO UNS,China
ANPDY,ANTA SPORTS PRODUCTS UNSP ADR E,China
PIAIF,PING AN INSURANCE(GROUP)CO.OF C,China
GRVWF,GREATVIEW ASEPTIC PACKAGING CO,China
CCGDF,CHINA CINDA ASSET MANAGEMENT CO,China
GNZUF,GUANGZHOU AUTOMOBILE GROUP,China
CIHKY,CHINA MERCHANTS BANK CO LTD UNS,China
CIHHF,CHINA MERCHANTS BANK CO LTD,China
CICHF,CHINA CONSTRUCTION BANK,China
CHCJY,CHINA CITIC BANK CORPORATION LT,China
CDBT,CHINA DASHENG BIOTECHNOLOGY COM,China
BKFCF,BANK OF COMMUNICATIONS CO LTD,China
CBLUF,CHINA BLUECHEMICAL LIMITED,China
BYDDY,BYD COMPANY LIMITED UNSP ADR EA,China
BYDIF,BYD ELECTRONIC INTERNATIONAL CO,China
JFIL,JUBILANT FLAME INTERNATIONAL LT,China
CCOZF,CHINA COAL ENERGY COMPANY,China
CDGXF,CHINA DONGXIANG (GROUP) CO LTD,China
CEHD,CHINA ELECTRONICS HLDGS INC,China
CFTLF,CHINASOFT INTERNATIONAL LIMITED,China
SOHOF,SOHO CHINA LIMITED,China
CREQF,CHINA RARE EARTH HLDGS,China
CLPXY,CHINA LONGYUAN POWER GROUP CORP,China
CITAF,COSCO SHIPPING DEVELOPMENT CO L,China
CILJF,CHINA LIFE INSURANCE CO,China
CHSO,CHINA SHOUGUAN INVT HLDG GROUP,China
CHME,CHINA MEDICINE CORP,China
CHCC,CHINA CHEMICAL CORP,China
CICOF,COSCO SHIPPING HOLDINGS,China
CMCLF,CMOC GROUP LIMITED,China
CNER,CHINA NEW ENERGY GROUP COMPANY,China
CHJTF,CSPC PHARMACEUTICAL GROUP LIMIT,China
CSDXF,COSCO SHIPPING ENGY TPT CO LTD,China
CTRYF,COUNTRY GARDEN HLDGS CO LTD,China
CTRYY,COUNTRY GARDEN HLDGS CO LTD UNS,China
DNFGF,DONGFENG MOTOR GROUP CO,China
GCPEF,GCL TECHNOLOGY HOLDINGS LTD,China
SEXHF,SICHUAN EXPRESSWAY CO,China
SFOSF,SHANGHAI FOSUN PHARMACEUTICAL G,China
GENX,GENEX PHARMACEUTICALS INC,China
SHTDF,SINOPHARM GROUP CO. LTD.,China
HEGIF,HENGAN INTERNATIONAL,China
HEGIY,HENGAN INTERNATIONAL UNSP ADR E,China
IINX,IONIX TECHNOLOGY INC,China
LGFRY,LONGFOR GROUP HLDGS LTD UNSP AD,China
LNNGF,LI NING CO LTD,China
SNPTF,SUNNY OPTICAL TECHNOLOGY GROUP,China
PCCYF,PETROCHINA CO,China
SNPMF,CHINA PETROLEUM & CHEMICAL CORP,China
SHPMY,SHANGHAI PHARMACEUTICALS HOLDIN,China
TNPH,TIAN'AN PHARMACEUTICAL COMPANY,China
SHTDY,SINOPHARM GROUP CO. LTD. UNSP A,China
TSIOF,361 DEGREES INTERNATIONAL LIMIT,China
YUMC,"Yum China Holdings, Inc.",China
CCNC,Code Chain New Continent Limite,China
BILI,Bilibili Inc.,China
HUYA,HUYA Inc.,China
IQ,"iQIYI, Inc.",China
XIACF,XIAOMI CORPORATION,China
UXIN,Uxin Limited,China
SOS,SOS Limited,China
LI,Li Auto Inc.,China
XPEV,XPeng Inc.,China
TIGR,UP Fintech Holding Limited,China
LKCO,Luokung Technology Corp,China
EBON,Ebang International Holdings In,China
NIU,Niu Technologies,China
DIDI,DiDi Global Inc.,China
DOYU,DouYu International Holdings Li,China
GOTU,Gaotu Techedu Inc.,China
GSMG,Glory Star New Media Group Hold,China
ZEPP,Zepp Health Corporation,China
RCON,"Recon Technology, Ltd.",China
YQ,17 Education & Technology Group,China
SNTG,Sentage Holdings Inc.,China
GNENF,GANFENG LITHIUM GROUP CO LTD,China
RLX,RLX Technology Inc.,China
CPOP,"Pop Culture Group Co., Ltd",China
