ticker,company,country
NVO,Novo Nordisk A/S,Denmark
ASND,Ascendis Pharma A/S,Denmark
AMKBY,A.P. MOLLER - MAERSK UNSP ADR E,Denmark
NVZMY,NOVOZYMES A/S UNSP ADR EACH REP,Denmark
NVZMF,NOVOZYMES A/S,Denmark
DSDVY,DSV A/S UNSP ADR EACH REPR 0.5,Denmark
VWSYF,VESTAS WIND SYSTEMS,Denmark
VWDRY,VESTAS WIND SYSTEMS ADR EACH RE,Denmark
BVNRY,BAVARIAN NORDIC SPON ADR EA REP,Denmark
CABGY,CARLSBERG AS SPON ADR EACH REP,Denmark
CLPBY,COLOPLAST SPON ADS EACH REPR 0.,Denmark
DNKEY,DANSKE BANK A/S SPON ADR EACH R,Denmark
DNSKF,DANSKE BANK A/S,Denmark
GNNDY,GN STORE NORD SPON ADR EA REPR,Denmark
CHYHY,CHR. HANSEN HOLDING A/S SPON AD,Denmark
HLUYY,H.LUNDBECK A/S SPON ADR EA REPR,Denmark
NONOF,NOVO NORDISK A/S,Denmark
CABJF,CARLSBERG AS,Denmark
ORPH,Orphazyme A/S,Denmark
GLTO,"Galecto, Inc.",Denmark
FWP,Forward Pharma A/S,Denmark
GMAB,Genmab A/S,Denmark
EVAX,Evaxion Biotech A/S,Denmark
LIQT,"LiqTech International, Inc.",Denmark
IOBT,"IO Biotech, Inc.",Denmark
DNNGY,ORSTED A/S UNSP ADR EACH REPR 0,Denmark
ORPHY,Orphazyme A/S,Denmark
ZEAL,Zealand Pharma A/S,Denmark
