ticker,company,country
NOK,Nokia Corporation Sponsored,Finland
SEOAY,STORA ENSO OYJ ADR EACH REP 1 S,Finland
FOJCY,FORTUM OYJ UNSP ADR EACH REPR .,Finland
KNYJY,KONE OYJ UNSP ADR EACH REPR 0.5,Finland
NOKBF,NOKIA OYJ,Finland
NKRKY,NOKIAN RENKAAT OYJ (NOKIA TYRES,Finland
SAXPF,SAMPO PLC,Finland
FOJCF,FORTUM OYJ,Finland
WRTBY,WARTSILA OYJ ABP UNSP ADR EACH,Finland
ELMUY,ELISA OYJ UNSP ADR EACH REPR 0.,Finland
FNNNF,FINNAIR OYJ,Finland
KKOYY,KESKO OYJ UNSP ADR EACH REPR 0.,Finland
UPMKF,UPM-KYMMENE CORP,Finland
NTOIY,NESTE OYJ UNSP ADR EACH REPR 0.,Finland
NTOIF,NESTE OYJ,Finland
SAXPY,SAMPO PLC UNSP ADR EACH REP 0.5,Finland
OUKPY,METSO OYJ UNSP ADR EACH REPR .5,Finland
