ticker,company,country
AXAHY,AXA SA SPON ADR EACH REP 1 ORD,France
ARKAY,ARKEMA SA SPON ADR EA REPR 1 OR,France
ALSMY,ALSTOM UNSP ADR EACH REPR 0.10,France
AIQUY,AIR LIQUIDE(L') ADR-EACH CNV IN,France
AXAHF,AXA SA,France
AOMFF,ALSTOM,France
BNPQY,BNP PARIBAS ADR EACH REPR 1/2 O,France
CRTO,Criteo S.A.,France
CLLS,Cellectis S.A.,France
CSTM,Constellium SE,France
DBVT,DBV Technologies S.A.,France
DANOY,DANONE ADR-EA CNV INTO 1/5 EUR0,France
DASTY,DASSAULT SYSTEMES SPON ADR EACH,France
ECIFY,ELECTRICITE DE FRANCE UNSP ADR,France
DASTF,DASSAULT SYSTEMES,France
GPDNF,DANONE,France
EDAP,EDAP TMS S.A.,France
VEOEY,VEOLIA ENVIRONNEMENT SPON ADR E,France
VEOEF,VEOLIA ENVIRONNEMENT,France
ESLOY,ESSILORLUXOTTICA UNSPON ADR EAC,France
ESLOF,ESSILORLUXOTTICA,France
EDNMF,EDENRED,France
SBGSF,SCHNEIDER ELECTRIC SE,France
FURCF,FORVIA,France
AFLYY,AIR FRANCE-KLM SPONS ADR EACH R,France
PGPEF,PUBLICIS GROUPE SA,France
SCGLY,SOCIETE GENERALE SPON ADR-EACH,France
PUBGY,PUBLICIS GROUPE SA ADR EACH REP,France
LVMUY,LVMH MOET HENNESSY VUITTON SE A,France
LVMHF,LVMH MOET HENNESSY VUITTON SE,France
PPRUY,KERING UNSPON ADR EA REPR 0.1 O,France
KLPEF,KLEPIERRE,France
PPRUF,KERING,France
LRLCY,L'OREAL UNSPON ADR EACH REP 0.2,France
ORAN,Orange,France
PDRDY,PERNOD RICARD,France
IPHYF,INNATE PHARMA,France
RNLSY,RENAULT SA UNSPON ADR EACH REPR,France
SNY,Sanofi,France
CRRFY,CARREFOUR SA SPON ADR EACH REPR,France
VLEEY,VALEO ADR-EACH REPR 0.5 ORD EUR,France
VIVEF,VIVENDI SE,France
VCISY,VINCI ADR EACH REPR 0.25 ORD EU,France
SCRYY,SCOR SE ADR EACH REPR 0.10 ORD,France
VIVHY,VIVENDI SE UNSPON ADR EACH REP,France
HESAY,HERMES INTERNATIONAL 10 ADR EAC,France
ACCYY,ACCOR SA SPON ADR EA REPR 0.2 O,France
ACRFF,ACCOR SA,France
AEXAY,ATOS SE UNSPONS ADR EACH REPR 0,France
AFRAF,AIR FRANCE-KLM,France
CRARY,CREDIT AGRICOLE SA ADR EA REPR,France
CRARF,CREDIT AGRICOLE SA,France
AIQUF,AIR LIQUIDE(L'),France
CGUSY,CASINO GUICHARD-PERRACHON SPON,France
BICEY,BIC (SOCIETE BIC SA) UNSP ADR E,France
RBSFY,RUBIS SCA UNSP ADR EACH REP 0.2,France
BNPQF,BNP PARIBAS,France
BOIVF,BOLLORE SE,France
BOUYY,BOUYGUES UNSP ADR EACH REPR 0.2,France
CRERF,CARREFOUR SA,France
CGEMY,CAPGEMINI UNSP ADR EACH REPR 0.,France
CAPMF,CAPGEMINI,France
CODYY,COMPAGNIE DE ST-GOBAIN UNSP ADR,France
ECIFF,ELECTRICITE DE FRANCE,France
EDNMY,EDENRED UNSPON ADR EA REPR 0.50,France
EFGSY,EIFFAGE UNSP ADR EACH REPR 1/5,France
SBGSY,SCHNEIDER ELECTRIC SE UNSPON AD,France
ENGIY,ENGIE SPON ADR EACH REPR 1 SHAR,France
UBSFF,UBISOFT ENTERTAINMENT,France
ERMAY,ERAMET UNSP ADR EACH REPR 0.1 O,France
ETCMY,EUTELSAT COMMUNICATIONS SPON AD,France
FNCTF,ORANGE,France
FRACF,FORACO INTERNATIONAL SA,France
IPSEY,IPSEN SA SPONS ADR EA REPR 0.25,France
LGRDY,LEGRAND SA UNSPON ADR EACH REPR,France
LRLCF,L'OREAL,France
REMYY,REMY COINTREAU UNSPON ADR EA RE,France
RXEEY,REXEL UNSP ADR EA REPR 1 ORD EU,France
SAFRY,SAFRAN SA UNSPON ADR EA REP 0.2,France
SAFRF,SAFRAN SA,France
TCLRY,VANTIVA SA SPON ADR EACH REP 0.,France
SNYNF,SANOFI,France
SDXAY,SODEXO SPON ADR EACH REP 0.2 OR,France
TLPFY,TELEPERFORMANCE SE UNSP ADR EAC,France
TTFNF,TOTALENERGIES SE,France
UBSFY,UBISOFT ENTERTAINMENT UNSP ADR,France
ENGQF,ENGIE,France
TLND,Talend S.A.,France
ERYP,Erytech Pharma S.A.,France
TTE,TotalEnergies SE,France
BPTS,Biophytis SA,France
SQNS,Sequans Communications S.A.,France
VALN,Valneva SE,France
EURMF,EUROPCAR MOBILITY GROUP,France
PONGF,ATARI,France
IPHA,Innate Pharma S.A.,France
VLOWY,VALLOUREC SA SPON ADR EACH REP,France
GNFT,GENFIT S.A.,France
NBTX,Nanobiotix S.A.,France
AMTD,AMTD IDEA Group,France
THLLY,THALES SA UNSPN ADS EACH REP 0.,France
HKD,AMTD Digital Inc.,France
IVA,Inventiva S.A. - American Depos,France
