ticker,company,country
DB,Deutsche Bank AG,Germany
VJET,voxeljet AG,Germany
FMS,Fresenius Medical Care AG,Germany
ADDYY,ADIDAS AG ADR EA REP 1/2 ORD NP,Germany
AFMD,Affimed N.V.,Germany
DDAIF,MERCEDES-BENZ GROUP AG,Germany
SIEGY,SIEMENS AG SPON ADR EACH REP 0.,Germany
DTEGY,DEUTSCHE TELEKOM AG SPON ADS EA,Germany
BAYRY,BAYER AG SPON ADR EACH REP 0.25,Germany
STWRY,SOFTWARE AG SPON ADR EACH 4 REP,Germany
RWEOY,RWE AG ADR EACH REPR 1 ORD NPV,Germany
IFNNY,INFINEON TECHNOLOGIES AG SPON A,Germany
CRZBY,COMMERZBANK AG SPON ADR EA REPR,Germany
VLKAF,VOLKSWAGEN AG,Germany
MURGY,MUENCHENER RUECKVERSICHERUNGS A,Germany
HENOY,HENKEL AG&CO. KGAA SPON ADS EAC,Germany
EVTCY,EVOTEC SE,Germany
DPSGY,DEUTSCHE POST AG SPONS ADR EA R,Germany
BAMXF,BAYERISCHE MOTOREN WERKE AG,Germany
BASFY,BASF SE SPON ADR EACH REP 0.25,Germany
DPSTF,DEUTSCHE POST AG,Germany
DLAKY,DEUTSCHE LUFTHANSA AG ADR EACH,Germany
DBOEF,DEUTSCHE BOERSE AG,Germany
EONGY,E.ON SE SPONS ADR EACH REPR 1 O,Germany
ENAKF,E.ON SE,Germany
EVKIF,EVONIK INDUSTRIES AG,Germany
FSNUY,FRESENIUS SE&CO KGAA SPON ADR E,Germany
HVRRY,HANNOVER RUECK SE ADR (EACH REP,Germany
HENKY,HENKEL AG&CO. KGAA SPON ADS EAC,Germany
HELKF,HENKEL AG&CO. KGAA,Germany
BOSSY,HUGO BOSS AG SPON ADR EA REPR 1,Germany
MKGAF,MERCK KGAA,Germany
FMCQF,FRESENIUS MEDICAL CARE AG & CO,Germany
PMMAF,PUMA SE,Germany
SAP,SAP  SE,Germany
TUIFY,TUI AG UNSP ADR EACH REPR 0.50,Germany
VLKPF,VOLKSWAGEN AG NON VTG PRF NPV,Germany
ZLNDY,ZALANDO SE UNSP ADR EACH REPR 0,Germany
CZMWY,CARL ZEISS MEDITEC AG UNSP ADR,Germany
ADDDF,ADIDAS AG,Germany
CRZBF,COMMERZBANK AG,Germany
TKAMY,THYSSENKRUPP AG SPON ADR REPR 1,Germany
RNMBY,RHEINMETALL AG UNSP ADR EACH RE,Germany
IFNNF,INFINEON TECHNOLOGIES AG,Germany
HDELY,HEIDELBERG MATERIALS UNSPON ADR,Germany
DBOEY,DEUTSCHE BOERSE AG UNSP ADR EAC,Germany
BNTGY,BRENNTAG SE UNSP ADR EA REPR 1/,Germany
BAYZF,BAYER AG,Germany
SYIEY,SYMRISE AG UNSP ADR EACH REPR 0,Germany
RWNFF,RWE AG,Germany
DTEGF,DEUTSCHE TELEKOM AG,Germany
TYEKF,THYSSENKRUPP AG,Germany
TELDF,TELEFONICA DEUTSCHLAND HLDG AG,Germany
HENOF,HENKEL AG&CO. KGAA NON-VTG PRF,Germany
BDRFY,BEIERSDORF AG UNSP ADR EACH REP,Germany
WCAGY,WIRECARD AG UNSPON ADR EACH REP,Germany
PAIOF,PAION AG,Germany
AIXXF,AIXTRON SE,Germany
SMAWF,SIEMENS AG,Germany
CTTAY,CONTINENTAL AG SPON ADS EACH RE,Germany
DLAKF,DEUTSCHE LUFTHANSA AG,Germany
CTTAF,CONTINENTAL AG,Germany
KPLUY,K+S AG ADR EACH 2 REP 1 ORD,Germany
SWDAF,SOFTWARE AG,Germany
POAHY,PORSCHE AUTOMOBIL HOLDING SE UN,Germany
POAHF,PORSCHE AUTOMOBIL HOLDING SE NO,Germany
BFFAF,BASF SE,Germany
FZRO,FLASHZERO CORP,Germany
FSNUF,FRESENIUS SE&CO KGAA,Germany
FUPBY,FUCHS SE UNSP ADR EA REPR 1/4 P,Germany
PBSFY,PROSIEBENSAT1 MEDIA SE UNSP ADR,Germany
NGRC,NATIONAL GRAPHITE CORP,Germany
VONOY,VONOVIA SE UNSPN ADR EACH REP 0,Germany
SAPGF,SAP SE,Germany
JMIA,Jumia Technologies AG,Germany
BNTX,BioNTech SE,Germany
VWAGY,VOLKSWAGEN AG UNSPON ADS EACH R,Germany
ATAI,ATAI Life Sciences N.V.,Germany
CVAC,CureVac N.V.,Germany
TRVG,trivago N.V.,Germany
MOR,MorphoSys AG,Germany
ALIZY,ALLIANZ SE UNSPON ADS EACH REP,Germany
IFRX,InflaRx N.V.,Germany
MYTE,MYT Netherlands Parent B.V.,Germany
TMVWY,TEAMVIEWER SE UNSPON ADS EACH R,Germany
VWAPY,VOLKSWAGEN AG UNSPON ADS EACH R,Germany
CNTG,Centogene N.V.,Germany
SMNEY,SIEMENS ENERGY AG SPON ADS EACH,Germany
LILM,Lilium N.V.,Germany
BFRA,Biofrontera AG American Deposit,Germany
MYNZ,Mainz Biomed N.V.,Germany
IMTX,Immatics N.V.,Germany
MYNA,Mynaric AG - American Depositor,Germany
SEV,Sono Group N.V.,Germany
LOVLY,Spark Networks SE,Germany
DMLRY,MERCEDES-BENZ GROUP AG UNSP ADR,Germany
EVO,Evotec SE,Germany
GF,"New Germany Fund, Inc. (The)",Germany
HELFY,HELLOFRESH SE UNSPON ADS EACH R,Germany
BMWYY,BAYERISCHE MOTOREN WERKE AG ADR,Germany
SSU,SIGNA Sports,Germany
DELHY,DELIVERY HERO SE UNSPON ADS EAC,Germany
KIGRY,KION GROUP AG UNSP ADR EA REPR,Germany
CEE,The Central and Eastern Europe,Germany
SMMNY,SIEMENS HEALTHINEERS AG UNSPON,Germany
HLFFF,HELLOFRESH SE,Germany
KNRRY,KNORR BREMSE AG UNSPON ADS EACH,Germany
PUMSY,PUMA SE UNSPON ADR EACH REP 0.1,Germany
MBGAF,MERCEDES-BENZ GROUP AG,Germany
MBGYY,MERCEDES-BENZ GROUP AG UNSP ADR,Germany
COVTY,COVESTRO AG SPON ADR EACH REP 0,Germany
SMEGF,SIEMENS ENERGY AG,Germany
