ticker,company,country
ICON,"Iconix Brand Group, Inc.",Greece
SBLK,Star Bulk Carriers Corp.,Greece
TEUFF,BOX SHIPS INC,Greece
CPLP,Capital Product Partners L.P.,Greece
DSX,Diana Shipping inc.,Greece
DLNG,Dynagas LNG Partners LP,Greece
TNP,Tsakos Energy Navigation Ltd,Greece
EGFEY,EUROBANK ERGASIAS SERVICES&HLDG,Greece
GOFPY,OPAP S.A. UNSP ADR EACH REP 0.5,Greece
GLOP,GasLog Partners LP,Greece
GASS,"StealthGas, Inc.",Greece
HLTOY,OTE(HELLENIC TELECOM ORGANIZATI,Greece
TEN,Tenneco Inc.,Greece
TNP-PD,Tsakos Energy Navigation Ltd 8.,Greece
NBGIF,NATIONAL BANK OF GREECE,Greece
ALBKY,ALPHA SERVICES AND HOLDINGS S.A,Greece
ALBKF,ALPHA SERVICES AND HOLDINGS S.A,Greece
BPIRF,PIRAEUS FINANCIAL HOLDINGS S.A,Greece
GLOG-PA,GasLog LP. 8.75% Series A Cumul,Greece
DSX-PB,Diana Shipping Inc. Perpetual P,Greece
EGFEF,EUROBANK ERGASIAS SERVICES&HLDG,Greece
GSL-PB,"Global Ship Lease, Inc. Deposit",Greece
DAC,Danaos Corporation,Greece
GLBS,Globus Maritime Limited,Greece
GSL,Global Ship Lease Inc New,Greece
SHIP,Seanergy Maritime Holdings Corp,Greece
PXS,Pyxis Tankers Inc.,Greece
TOPS,TOP Ships Inc.,Greece
ESEA,Euroseas Ltd.,Greece
BPIRY,PIRAEUS FINANCIAL HOLDINGS S.A,Greece
EDRY,EuroDry Ltd.,Greece
OP,OceanPal Inc.,Greece
PSHG,Performance Shipping Inc.,Greece
PGAS,PETROGRESS INC,Greece
IMPP,Imperial Petroleum Inc.,Greece
USEA,United Maritime Corporation,Greece
CISS,C3is Inc.,Greece
