ticker,company,country
HGKGF,POWER ASSETS HOLDINGS LTD.,Hong Kong
BCAUY,BRILLIANCE CHINA AUTOMOTIVE HLD,Hong Kong
HOKCY,HONGKONG & CHINA GAS CO. LTD. S,Hong Kong
HGKGY,POWER ASSETS HOLDINGS LTD. ADR-,Hong Kong
GELYY,GEELY AUTOMOBILE HOLDINGS LIMIT,Hong Kong
HSNGY,HANG SENG BANK SPON ADR CACH CN,Hong Kong
SIMO,Silicon Motion Technology Corpo,Hong Kong
NHTC,Natural Health Trends Corp. - C,Hong Kong
MDEVF,MELCO INTERNATIONAL DEVELOPMENT,Hong Kong
HLDCY,HENDERSON LAND DEVELOPMENT CO S,Hong Kong
DFIB.L,DAIRY FARM INTERNATIONAL HOLDIN,Hong Kong
CIADY,CHINA MENGNIU DAIRY CO UNSP ADR,Hong Kong
HYSNY,HYSAN DEVELOPMENT ADR-EACH CNV,Hong Kong
HLDVF,HENDERSON LAND DEVELOPMENT CO,Hong Kong
EBML,EBULLION INC,Hong Kong
BJWTF,BEIJING ENTERPRISES WATER GP LT,Hong Kong
ETAH,ETERNITY HEALTHCARE INC,Hong Kong
ESPGY,ESPRIT HOLDINGS LTD SPONS ADR E,Hong Kong
ENMHF,ENM HOLDINGS LTD,Hong Kong
FOSUF,FOSUN INTERNATIONAL,Hong Kong
LNVGY,LENOVO GROUP LIMITED ADR EACH 1,Hong Kong
XYIGF,XINYI GLASS HLDGS,Hong Kong
TLGN,EVER HARVEST INTL GROUP INC,Hong Kong
SUHJY,SUN HUNG KAI PROPERTIES LTD SPN,Hong Kong
SJMHF,SJM HOLDINGS LIMITED,Hong Kong
XYIGY,XINYI GLASS HLDGS UNSP ADS EACH,Hong Kong
TCLHF,TCL ELECTRONICS HOLDINGS LTD,Hong Kong
SUHJF,SUN HUNG KAI PROPERTIES LTD,Hong Kong
SJMHY,SJM HOLDINGS LIMITED UNSPON ADR,Hong Kong
CJEWY,CHOW TAI FOOK JEWELLERY GROUP L,Hong Kong
KRYPF,KERRY PROPERTIES LTD,Hong Kong
KCKSF,KECK SENG INVESTMENTS(HONK KONG,Hong Kong
HOKCF,HONGKONG & CHINA GAS CO. LTD.,Hong Kong
HKXCF,HONG KONG EXCHANGES & CLEARING,Hong Kong
BNKHF,BOC HONG KONG(HLDGS) LTD,Hong Kong
TTNDY,TECHTRONIC INDUSTRIES CO ADR EA,Hong Kong
SWRBY,SWIRE PACIFIC ADR EACH REP 5'B',Hong Kong
PCCWY,PCCW LIMITED ADR EACH REP 10 OR,Hong Kong
CTPCY,CITIC LIMITED ADR EACH REP 5 OR,Hong Kong
PMTYF,PLAYMATES TOYS LIMITED,Hong Kong
TVBCY,TELEVISION BROADCASTS SPON ADR,Hong Kong
LMPMY,LEE & MAN PAPER MANUFACTURING L,Hong Kong
CAOVY,CHINA OVERSEAS LAND & INVESTMNT,Hong Kong
BKEAY,BANK OF EAST ASIA LIMITED ADR-E,Hong Kong
PUK,Prudential Public Limited Compa,Hong Kong
WARFF,WHARF(HLDGS),Hong Kong
YUEIY,YUE YUEN INDUSTRIAL HLDGS UNSP,Hong Kong
YUEIF,YUE YUEN INDUSTRIAL HLDGS,Hong Kong
AAGIY,AIA GROUP LIMITED SPON ADR EA R,Hong Kong
AAIGF,AIA GROUP LIMITED,Hong Kong
CMGHF,CHAODA MODERN AGRICULTURE HLDGS,Hong Kong
