ticker,company,country
HDB,HDFC Bank Limited,India
RDY,Dr. Reddy's Laboratories Ltd,India
INFY,Infosys Limited,India
TTM,Tata Motors Ltd Tata Motors Lim,India
WIT,Wipro Limited,India
WNS,WNS (Holdings) Limited Sponsore,India
MMYT,MakeMyTrip Limited,India
VEDL,Vedanta Limited,India
SIFY,Sify Technologies Limited - Ame,India
MTENY,MAHANAGAR TELEPHONE NIGAM ADS E,India
IBN,ICICI Bank Limited,India
AZRE,Azure Power Global Limited,India
REDFY,REDIFF.COM INDIA ADR EACH REPR,India
YTRA,"Yatra Online, Inc.",India
