ticker,company,country
PPERY,BANK MANDIRI (PERSERO) TBK UNSP,Indonesia
PPERF,BANK MANDIRI (PERSERO) TBK,Indonesia
PHJMF,HANJAYA MANDALA SAMPOERNA,Indonesia
PIFMY,PT INDOFOOD SUKSES MAKMUR TBK U,Indonesia
BKRKY,BANK RAKYAT INDONESIA UNSP ADR,Indonesia
UNLRF,UNILEVER INDONESIA,Indonesia
PUTKY,UNITED TRACTORS UNSP ADR EACH R,Indonesia
PTXKY,PT XL AXIATA TBK UNSP ADR EACH,Indonesia
ACEHF,ACE HARDWARE INDONESIA TBK,Indonesia
ADOOY,ADARO ENERGY INDONESIA TBK UNSP,Indonesia
PTAIY,ASTRA INTERNATIONAL UNSP ADR EA,Indonesia
PBCRY,BANK CENTRAL ASIA UNSP ADR EA R,Indonesia
PBCRF,BANK CENTRAL ASIA,Indonesia
PTPIF,CHANDRA ASRI PETROCHEMICAL TBK,Indonesia
KMGLF,ASIAMET RESOURCES LTD,Indonesia
BKRKF,BANK RAKYAT INDONESIA,Indonesia
GGNPF,GUDANG GARAM TBK,Indonesia
PTNDF,VALE INDONESIA TBK,Indonesia
PMDKF,MITRA ADIPERKASA TBK,Indonesia
PIFMF,PT INDOFOOD SUKSES MAKMUR TBK,Indonesia
PSGTF,SEMEN INDONESIA (PERSERO)TBK,Indonesia
TLKMF,TELKOM INDONESIA(PERSERO) TBK,Indonesia
IGEX,INDO GLOBAL EXCHANGES PTE LTD,Indonesia
INDO,Indonesia Energy Corporation Li,Indonesia
TLK,"PT Telekomunikasi Indonesia, Tb",Indonesia
ITAYY,INDO TAMBANGRAYA MEGAH TBK UNSP,Indonesia
PBMRF,BUMI RESOURCES TBK,Indonesia
