ticker,company,country
ACN,Accenture plc,Ireland
AON,Aon plc,Ireland
AMRN,Amarin Corporation plc,Ireland
ALKS,Alkermes plc,Ireland
AER,AerCap Holdings N.V.,Ireland
ALLE,Allegion plc,Ireland
TRIB,Trinity Biotech plc,Ireland
JCI,Johnson Controls International,Ireland
ETN,"Eaton Corporation, PLC",Ireland
PRGO,Perrigo Company plc,Ireland
JAZZ,Jazz Pharmaceuticals plc,Ireland
PRTA,Prothena Corporation plc,Ireland
CRH,CRH PLC,Ireland
ICLR,ICON plc,Ireland
CMPR,Cimpress PLC,Ireland
ENDP,Endo International plc,Ireland
FLY,Fly Leasing Limited,Ireland
HZNP,Horizon Therapeutics Public Lim,Ireland
RYAAY,Ryanair Holdings plc,Ireland
UDHCF,UDG HEALTHCARE PLC,Ireland
KRYAF,KERRY GROUP,Ireland
MDT,Medtronic plc.,Ireland
PDYPF,FLUTTER ENTERTAINMENT PLC,Ireland
FBAYF,KNEAT COM INC,Ireland
CCGGY,C&C GROUP,Ireland
CGPZF,C&C GROUP,Ireland
EXPGY,EXPERIAN PLC SPON ADR EACH REP,Ireland
EXPGF,EXPERIAN PLC,Ireland
FOLGF,FALCON OIL & GAS,Ireland
GNCGF,GREENCORE GROUP,Ireland
ILPMF,PERMANENT TSB GROUP HLDGS PLC,Ireland
JHIUF,JAMES HARDIE INDUSTRIES PLC CDI,Ireland
IRCUF,IRISH CONTINENTAL GROUP,Ireland
SMFKY,SMURFIT KAPPA GROUP PLC UNSP AD,Ireland
SMFTF,SMURFIT KAPPA GROUP PLC,Ireland
KRYAY,KERRY GROUP SPON ADR EA REP 1 O,Ireland
KGSPY,KINGSPAN GROUP UNSP ADR EACH RE,Ireland
PDYPY,FLUTTER ENTERTAINMENT PLC UNSPO,Ireland
TTPPF,TOTAL PRODUCE PLC,Ireland
AVDL,Avadel Pharmaceuticals plc,Ireland
PDD,PDD Holdings Inc.,Ireland
ITRM,Iterum Therapeutics plc,Ireland
NBRV,Nabriva Therapeutics plc,Ireland
APTV,Aptiv PLC,Ireland
TT,Trane Technologies plc,Ireland
ADNT,Adient plc,Ireland
MNKKQ,Mallinckrodt plc,Ireland
DOLE,Dole plc,Ireland
AMYT,Amryt Pharma plc,Ireland
HTOO,Fusion Fuel Green PLC,Ireland
GHRS,GH Research PLC,Ireland
JHX,James Hardie Industries plc,Ireland
ADSE,ADS-TEC ENERGY PLC,Ireland
BKRIF,BANK OF IRELAND GROUP PLC,Ireland
ENDPQ,Endo International plc,Ireland
BREA,Brera Holdings PLC,Ireland
SMX,SMX (Security Matters) Public L,Ireland
MNKTQ,Mallinckrodt plc,Ireland
BKRIY,BANK OF IRELAND GROUP PLC UNSPO,Ireland
