ticker,company,country
AUDC,AudioCodes Ltd.,Israel
ALLT,Allot Ltd.,Israel
IGAP,"Integrity Applications, Inc.",Israel
APYP,APPYEA INC,Israel
PLX,"Protalix BioTherapeutics, Inc.",Israel
RDHL,Redhill Biopharma Ltd.,Israel
VBLT,Vascular Biogenics Ltd.,Israel
CHKP,Check Point Software Technologi,Israel
CYBR,CyberArk Software Ltd.,Israel
CAMT,Camtek Ltd.,Israel
SPNS,Sapiens International Corporati,Israel
CSTE,Caesarstone Ltd.,Israel
CRNT,Ceragon Networks Ltd.,Israel
CGEN,Compugen Ltd.,Israel
ITRN,Ituran Location and Control Ltd,Israel
KRNT,Kornit Digital Ltd.,Israel
FDOC,FUEL DOCTOR HOLDINGS INC,Israel
MGIC,Magic Software Enterprises Ltd.,Israel
RADA,RADA Electronic Industries Ltd.,Israel
GILT,Gilat Satellite Networks Ltd.,Israel
GLMD,Galmed Pharmaceuticals Ltd.,Israel
TEVA,Teva Pharmaceutical Industries,Israel
SEDG,"SolarEdge Technologies, Inc.",Israel
PLUR,Pluri Inc.,Israel
JCDAF,JACADA,Israel
RDWR,Radware Ltd.,Israel
WIX,Wix.com Ltd.,Israel
TSEM,Tower Semiconductor Ltd.,Israel
NICE,NICE Ltd,Israel
MAGS,Magal Security Systems Ltd.,Israel
TARO,Taro Pharmaceutical Industries,Israel
NTEC,Intec Pharma Ltd.,Israel
NVMI,Nova Ltd.,Israel
BITCF,FIRST BITCOIN CAP CORP,Israel
BZQIF,BEZEQ-ISRAELI TELECOMUNICATION,Israel
BKHYY,BANK HAPOALIM B.M. SPONS ADR EA,Israel
ESYL,EASYLINK SOLUTIONS CORPORATION,Israel
ITMMF,ITAMAR MEDICAL LTD,Israel
TIKRF,TIKCRO TECHNOLOGIES LTD,Israel
AYLA,"Ayala Pharmaceuticals, Inc.",Israel
NNOX,NANO-X IMAGING LTD,Israel
INMD,InMode Ltd.,Israel
NSPR,InspireMD Inc.,Israel
PRFX,PainReform Ltd.,Israel
ZIM,ZIM Integrated Shipping Service,Israel
NNDM,Nano Dimension Ltd.,Israel
FVRR,Fiverr International Ltd.,Israel
GLBE,Global-E Online Ltd.,Israel
BLRX,BioLineRx Ltd.,Israel
CMMB,Chemomab Therapeutics Ltd.,Israel
INVZ,Innoviz Technologies Ltd.,Israel
MTSL,MER Telemanagement Solutions Lt,Israel
ENTX,Entera Bio Ltd.,Israel
FRSX,Foresight Autonomous Holdings L,Israel
WAVE,Eco Wave Power Global AB (publ),Israel
BABYF,ELSE NUTRITION HOLDINGS INC,Israel
PERI,Perion Network Ltd,Israel
CYRN,CYREN Ltd.,Israel
SFET,Safe-T Group Ltd.,Israel
SMWB,Similarweb Ltd.,Israel
APOP,Cellect Biotechnology Ltd.,Israel
BVXV,BiondVax Pharmaceuticals Ltd.,Israel
GMVD,G Medical Innovations Holdings,Israel
MDGS,Medigus Ltd.,Israel
MITC,MeaTech 3D Ltd.,Israel
RWLK,ReWalk Robotics Ltd.,Israel
XTLB,XTL Biopharmaceuticals Ltd.,Israel
IS,ironSource Ltd.,Israel
CHEK,Check-Cap Ltd.,Israel
PLTK,Playtika Holding Corp.,Israel
ICL,ICL Group Ltd.,Israel
GMDA,Gamida Cell Ltd.,Israel
IINN,Inspira Technologies Oxy B.H.N.,Israel
MNDY,monday.com Ltd.,Israel
SLGL,Sol-Gel Technologies Ltd.,Israel
ESLT,Elbit Systems Ltd.,Israel
MDWD,MediWound Ltd.,Israel
ENLV,Enlivex Therapeutics Ltd.,Israel
PPBT,Purple Biotech Ltd.,Israel
SILC,Silicom Ltd,Israel
TRMR,Tremor International Ltd. - Ame,Israel
PYPD,PolyPid Ltd.,Israel
REE,REE Automotive Ltd.,Israel
WKME,WalkMe Ltd.,Israel
KMDA,Kamada Ltd.,Israel
EVGN,Evogene Ltd.,Israel
ICUSF,ICECURE MEDICAL LTD,Israel
RSKD,Riskified Ltd.,Israel
CLGN,CollPlant Biotechnologies Ltd.,Israel
SPCB,"SuperCom, Ltd.",Israel
TUFN,Tufin Software Technologies Ltd,Israel
BBIXF,BONUS BIOGROUP LTD,Israel
CANF,Can-Fite Biopharma Ltd Sponsore,Israel
NGMS,NeoGames S.A.,Israel
BWAY,Brainsway Ltd.,Israel
TOMDF,TODOS MEDICAL LIMITED,Israel
ELTK,Eltek Ltd.,Israel
ICCM,IceCure Medical Ltd.,Israel
INCR,Intercure Ltd.,Israel
OTMO,Otonomo Technologies Ltd.,Israel
ITMR,Itamar Medical Ltd. - American,Israel
CLBT,Cellebrite DI Ltd.,Israel
CGNT,Cognyte Software Ltd.,Israel
TATT,TAT Technologies Ltd.,Israel
PHGE,BiomX Inc.,Israel
VLN,Valens Semiconductor Ltd.,Israel
MYSZ,"My Size, Inc.",Israel
ARBE,Arbe Robotics Ltd.,Israel
SVFD,"Save Foods, Inc.",Israel
IMCC,IM Cannabis Corp.,Israel
PTNR,Partner Communications Company,Israel
NRSN,NeuroSense Therapeutics Ltd.,Israel
SPRC,SciSparc Ltd.,Israel
OTIVF,ON TRACK INNOVATIONS,Israel
MTEK,Maris-Tech Ltd.,Israel
DRTS,Alpha Tau Medical Ltd.,Israel
BOSC,B.O.S. Better Online Solutions,Israel
RVSN,Rail Vision Ltd.,Israel
BNRG,Brenmiller Energy Ltd,Israel
BCAN,BYND Cannasoft Enterprises Inc.,Israel
SVRE,SaverOne 2014 Ltd.,Israel
PLUR,Pluri Inc.,Israel
JFBR,Jeffs' Brands Ltd,Israel
STKH,Steakholder Foods Ltd.,Israel
WLDS,Wearable Devices Ltd.,Israel
MOB,Mobilicom Limited,Israel
NYAX,Nayax Ltd.,Israel
MBLY,Mobileye Global Inc.,Israel
CTGL,CITRINE GLOBAL,Israel
SATX,SatixFy Communications Ltd.,Israel
DELKY,DELEK GROUP UNSPON ADR EACH REP,Israel
CRGO,Freightos Limited,Israel
ENLT,Enlight Renewable Energy Ltd.,Israel
ALAR,Alarum Technologies Ltd.,Israel
HUBC,Hub Cyber Security Ltd.,Israel
BMR,Beamr Imaging Ltd.,Israel
ODD,ODDITY Tech Ltd.,Israel
