ticker,company,country
ARZGY,ASSICURAZIONI GENERALI SPA UNSP,Italy
MDIBY,MEDIOBANCA DI CREDITO FINANZ SP,Italy
E,ENI S.p.A.,Italy
RACE,Ferrari N.V.,Italy
FINMY,LEONARDO SPA UNSP ADR EACH REPR,Italy
JVTSF,JUVENTUS FOOTBALL CLUB,Italy
TEZNY,TRASMISSIONE ELETTRICITA RETE N,Italy
PRDSF,PRADA SPA,Italy
PRDSY,PRADA SPA UNSP ADR EACH REPR 2,Italy
UNCFF,UNICREDIT SPA,Italy
ATASY,ATLANTIA SPA UNSP ADR EACH REPR,Italy
BCUCY,BRUNELLO CUCINELLI UNSPON ADR E,Italy
IMPJY,WEBUILD SPA UNSP ADR EACH REPR,Italy
EIPAF,ENI SPA,Italy
ENLAY,ENEL SPA UN SPON ADR EA REPR 1,Italy
ESOCF,ENEL SPA,Italy
SFRGY,SALVATORE FERRAGAMO UNSPON ADR,Italy
FINMF,LEONARDO SPA,Italy
IITSF,INTESA SANPAOLO S.P.A.,Italy
ISNPY,INTESA SANPAOLO S.P.A. SPON ADR,Italy
TIAJF,TELECOM ITALIA SPA,Italy
TIAOF,TELECOM ITALIA SPA,Italy
PIAGF,PIAGGIO,Italy
PRYMY,PRYSMIAN SPA UNSP ADR EACH REPR,Italy
PRYMF,PRYSMIAN SPA,Italy
SAPMY,SAIPEM SPA,Italy
SAPMF,SAIPEM SPA,Italy
SNMRF,SNAM SPA,Italy
SNMRY,SNAM SPA UNSP ADR EA REPR 2 ORD,Italy
KLR,"Kaleyra, Inc.",Italy
STVN,Stevanato Group S.p.A.,Italy
TIIAY,TELECOM ITALIA SPA SPON ADS EAC,Italy
TIAIY,TELECOM ITALIA SPA SPON ADS EAC,Italy
ZGN,Ermenegildo Zegna N.V.,Italy
UNCRY,UNICREDIT SPA UNSPON ADR EACH R,Italy
SAPMD,SAIPEM SPA,Italy
