ticker,company,country
ALNPY,ANA HOLDINGS INC SPON ADR EACH,Japan
APELY,ALPS ALPINE CO LTD ADR-EACH CNV,Japan
ALPMY,ASTELLAS PHARMA UNSP ADR EACH R,Japan
TM,Toyota Motor Corporation,Japan
HMC,"Honda Motor Company, Ltd.",Japan
CAJ,"Canon, Inc.",Japan
NSANY,NISSAN MOTOR CO SPONS ADR(CNV I,Japan
DSNKY,DAIICHI SANKYO COMPANY LIMITED,Japan
DSEEY,DAIWA SECURITIES GROUP SPON ADR,Japan
DITTF,DAITO TRUST CONSTRUCTION CO,Japan
DIFTY,DAITO TRUST CONSTRUCTION CO SPO,Japan
NDEKY,NITTO DENKO CORP ADR-EACH CNV I,Japan
MITEY,MITSUBISHI ESTATE CO SPON ADR E,Japan
MIELY,MITSUBISHI ELECTRIC CORP ADR EA,Japan
SMTOY,SUMITOMO ELECTRIC INDUSTRIES AD,Japan
YASKY,YASKAWA ELECTRIC CORP UNSP ADR,Japan
TOELY,TOKYO ELECTRON UNSPON ADR EACH,Japan
SEKEY,SEIKO EPSON CORP ADR EACH REP 0,Japan
EJPRY,EAST JAPAN RAILWAY CO ADR EACH,Japan
EBCOY,EBARA CORP ADR-EACH CNV INTO 0.,Japan
SMFG,Sumitomo Mitsui Financial Group,Japan
MFG,"Mizuho Financial Group, Inc. Sp",Japan
FUJIY,FUJIFILM HOLDINGS CORPORATION A,Japan
FJTSY,FUJITSU UNSP ADR EACH REP 0.2 O,Japan
FANUY,FANUC CORPORATION UNSP ADR EACH,Japan
MTSFF,MITSUI FUDOSAN,Japan
FUJHY,SUBARU CORPORATION UNSPON ADR E,Japan
FRCOY,FAST RETAILING CO LTD UNSP ADR,Japan
FJTSF,FUJITSU,Japan
SMFNF,SUMITOMO MITSUI FINANCIAL GROUP,Japan
MTSFY,MITSUI FUDOSAN UNSP ADR EACH RE,Japan
SFTBY,SOFTBANK GROUP CORP UNSP ADR EA,Japan
SOLTF,SOSEI GROUP CORP,Japan
NMR,Nomura Holdings Inc,Japan
KNBWY,KIRIN HOLDINGS COMPANY LIMITED,Japan
SGAMY,SEGA SAMMY HLDGS INC SPON ADR E,Japan
OTSKY,OTSUKA HLDGS CO LTD UNSP ADR EA,Japan
TKOMY,TOKIO MARINE HOLDINGS INC ADR E,Japan
SVNDY,SEVEN & I HOLDINGS CO LTD UNSP,Japan
