ticker,company,country
MT,Arcelor Mittal NY Registry Shar,Luxembourg
ASPS,Altisource Portfolio Solutions,Luxembourg
AGRO,Adecoagro S.A.,Luxembourg
AMSYF,ARCELORMITTAL,Luxembourg
OEC,Orion S.A.,Luxembourg
GLOB,Globant S.A.,Luxembourg
TS,Tenaris S.A.,Luxembourg
TX,Ternium S.A. Ternium S.A.,Luxembourg
SMSEY,SAMSONITE INTL SA UNSPON ADR EA,Luxembourg
BMRPF,B & M EUROPEAN VALUE RETAIL SA,Luxembourg
APEMY,APERAM SA NY REGISTRY SHS,Luxembourg
ERFSF,EUROFINS SCIENTIFIC SE,Luxembourg
LCCTF,L'OCCITANE INTERNATIONAL S.A.,Luxembourg
SUBCY,SUBSEA 7 S.A. ADR EACH REPR 1 C,Luxembourg
SMSOF,SAMSONITE INTL SA,Luxembourg
SGBAF,SES SA FIDUCIARY DR EACH REP 1,Luxembourg
TNRSF,TENARIS S.A.,Luxembourg
SPOT,Spotify Technology S.A.,Luxembourg
ARVL,Arrival,Luxembourg
FREY,FREYR Battery,Luxembourg
INTEQ,INTELSAT SA,Luxembourg
NEXA,Nexa Resources S.A.,Luxembourg
CAAP,Corporacion America Airports SA,Luxembourg
INPOY,INPOST S.A. UNSPON ADR EACH REP,Luxembourg
ATTO,Atento S.A.,Luxembourg
AMBP,Ardagh Metal Packaging S.A.,Luxembourg
TIGO,Millicom International Cellular,Luxembourg
ALVO,Alvotech,Luxembourg
MLEC,Moolec Science SA,Luxembourg
BMRRY,B & M EUROPEAN VALUE RETAIL SA,Luxembourg
