ticker,company,country
SMEBF,SIME DARBY BERHAD,Malaysia
AIABF,CAPITAL A BHD,Malaysia
MLYBY,MALAYAN BANKING BERHAD SPONS AD,Malaysia
GEBHY,GENTING BERHAD SPON ADR EA REPR,Malaysia
CHMD,MEDIAN GROUP INC,Malaysia
TGLVY,TOP GLOVE CORP BHD SPON ADR EAC,Malaysia
GRNQ,Greenpro Capital Corp.,Malaysia
IMTE,Integrated Media Technology Lim,Malaysia
TPGVF,TOP GLOVE CORP BHD,Malaysia
STBX,Starbox Group Holdings Ltd.,Malaysia
DUSYF,DUESENBERG TECHNOLOGIES INC,Malaysia
BANL,CBL International Limited,Malaysia
VCIG,VCI Global Limited,Malaysia
ARBB,ARB IOT Group Limited,Malaysia
BGLC,BioNexus Gene Lab Corp,Malaysia
