ticker,company,country
AMX,"America Movil, S.A.B. de C.V.",Mexico
ASR,Grupo Aeroportuario del Sureste,Mexico
VLRS,Controladora Vuela Compania de,Mexico
CX,"Cemex, S.A.B. de C.V. Sponsored",Mexico
FMX,Fomento Economico Mexicano S.A.,Mexico
KOF,Coca Cola Femsa S.A.B. de C.V.,Mexico
WMMVY,WAL-MART DE MEXICO SAB DE CV AD,Mexico
MFRVF,MINERA FRISCO SAB DE CV,Mexico
CRQDF,CREDITO REAL SAB DE CV SOFOM EN,Mexico
MHSDF,MEGACABLE HOLDINGS SAB DE CV,Mexico
GRBMF,GRUPO BIMBO SAB DE CV,Mexico
GBOOY,GRUPO FINANCIERO BANORTE SPON A,Mexico
CNRFF,CONSORCIO ARA SAB,Mexico
CMPRF,GENTERA SAB DE CV,Mexico
BOMXF,BOLSA MEXICANA DE VALORES SAB D,Mexico
AZTEF,TV AZTECA SAB DE CV,Mexico
AMXVF,AMERICA MOVIL SAB DE CV,Mexico
MXMTY,MAXCOM TELECOMUNICACIONES SA DE,Mexico
IPOAF,INDUSTRIAS PENOLES S.A.B. DE C.,Mexico
GMBXF,GRUPO MEXICO SAB DE CV,Mexico
EMBVF,ARCA CONTINENTAL SAB DE CV,Mexico
FNLPF,FRESNILLO PLC,Mexico
TV,Grupo Televisa S.A.,Mexico
WMMVF,WAL-MART DE MEXICO SAB DE CV,Mexico
ASRMF,GPO AEROPORTUARIO DEL SURESTE S,Mexico
ALSSF,ALSEA SAB DE CV,Mexico
BNZIF,BANCO INVEX S.A.,Mexico
CBAOF,CIBANCO SA INSTIT DE BANCA MULT,Mexico
CXMSF,CEMEX S.A.B. DE C.V.,Mexico
KCDMY,KIMBERLY-CLARK DE MEXICO SAB DE,Mexico
FMXUF,FOMENTO ECONOMICO MEXICANO SAB,Mexico
FBBPF,BANCO ACTINVER SA,Mexico
FBASF,BANCO ACTINVER SA,Mexico
COCSF,COCA-COLA FEMSA S.A.B. DE C.V.,Mexico
GTMAY,GRUPO TMM S.A.B. SPON ADR EACH,Mexico
GUZOF,GRUPO HERDEZ SAB DE CV,Mexico
VESTF,CORPORACION INMOBILIARIA VESTA,Mexico
GBOOF,GRUPO FINANCIERO BANORTE,Mexico
VIST,Vista Energy S.A.B. de C.V.,Mexico
BWMX,"Betterware de Mexico, S.A.P.I.",Mexico
TSSLF,TELESITES SAB DE CV,Mexico
TINO,TAMINO MINERALS INC,Mexico
BSMX,"Banco Santander Mexico, S.A., I",Mexico
GRPAQ,GRUPO AEROMEXICO SAB DE CV,Mexico
BBAJF,BANCO DEL BAJIO,Mexico
NMAKF,NEMAK SAB DE CV,Mexico
IBA,"Industrias Bachoco, S.A.B. de C",Mexico
OPMXF,OPERADORA DE SITES MEXICANOS SA,Mexico
BCCLF,BECLE SAB DE CV,Mexico
PAC,Grupo Aeroportuario Del Pacific,Mexico
OMAB,Grupo Aeroportuario del Centro,Mexico
APXI,APx Acquisition Corp. I,Mexico
