ticker,company,country
ASML,ASML Holding N.V. - New York Re,Netherlands
AEG,AEGON N.V.,Netherlands
EADSY,AIRBUS SE UNSPON ADR EA REPR 0.,Netherlands
AKZOY,AKZO NOBEL NV SPON ADS EACH REP,Netherlands
RDS-A,Royal Dutch Shell PLC Royal Dut,Netherlands
RDS-B,Royal Dutch Shell PLC Royal Dut,Netherlands
RYDBF,SHELL PLC,Netherlands
RDSMY,KONINKLIJKE DSM NV ADR-EACH 4 C,Netherlands
EADSF,AIRBUS SE,Netherlands
ING,"ING Group, N.V.",Netherlands
GRUB,Just Eat Takeaway.com N.V.,Netherlands
HKHHY,HEINEKEN HOLDING SPON ADR EA RE,Netherlands
HEINY,HEINEKEN NV SPON ADR EACH REP 1,Netherlands
HINKF,HEINEKEN NV,Netherlands
RANJY,RANDSTAD N.V. UNSP ADR EACH REP,Netherlands
RHCO,READEN HOLDING CORP,Netherlands
PHG,Koninklijke Philips N.V. NY Reg,Netherlands
WTKWY,WOLTERS KLUWERS SPON ADR EACH R,Netherlands
KKPNY,KONINKLIJKE KPN NV SPON ADR EAC,Netherlands
RYLPF,KONINKLIJKE PHILIPS NV,Netherlands
KKPNF,KONINKLIJKE KPN NV,Netherlands
AHODF,KONINKLIJKE AHOLD DELHAIZE NV,Netherlands
NXPI,NXP Semiconductors N.V.,Netherlands
QGEN,Qiagen N.V.,Netherlands
QURE,uniQure N.V.,Netherlands
PRQR,ProQR Therapeutics N.V.,Netherlands
TMOAY,TOMTOM NV UNSP ADR EACH REPR 0.,Netherlands
ASMIY,ASM INTERNATIONAL NV SPON ADR E,Netherlands
AMVMF,AMG CRITICAL MATERIALS N.V.,Netherlands
AEGOF,AEGON NV,Netherlands
AKZOF,AKZO NOBEL NV,Netherlands
ASMLF,ASML HOLDING NV,Netherlands
BESIY,BE SEMICONDUCTOR INDUSTRIES NV,Netherlands
INGVF,ING GROEP N.V.,Netherlands
KDSKF,KONINKLIJKE DSM NV,Netherlands
HKHHF,HEINEKEN HOLDING,Netherlands
OCINF,OCI NV,Netherlands
NNGPF,NN GROUP N.V.,Netherlands
ESTC,Elastic N.V.,Netherlands
ADYEY,ADYEN NV UNSPON ADS EACH REP 0.,Netherlands
STLA,Stellantis N.V.,Netherlands
PROSY,PROSUS N.V. SPON ADR EACH REP 0,Netherlands
LVTX,LAVA Therapeutics N.V.,Netherlands
PLYA,Playa Hotels & Resorts N.V.,Netherlands
VEON,VEON Ltd.,Netherlands
MRUS,Merus N.V.,Netherlands
ARGX,argenx SE,Netherlands
PHAR,Pharming Group N.V.,Netherlands
TKAYF,JUST EAT TAKEAWAY.COM N.V,Netherlands
UMGNF,UNIVERSAL MUSIC GROUP N.V,Netherlands
UNVGY,UNIVERSAL MUSIC GROUP N.V UNSPO,Netherlands
ALLG,Allego N.V.,Netherlands
JTKWY,Just Eat Takeaway.com N.V.,Netherlands
PHPPY,SIGNIFY NV UNSPON ADR EACH REPR,Netherlands
EXXRF,EXOR NV,Netherlands
AAVMY,ABN AMRO BANK N.V. UNSPON ADS E,Netherlands
PHVS,Pharvaris N.V.,Netherlands
NAMS,NewAmsterdam Pharma Company N.V,Netherlands
EBAC,European Biotech Acquisition Co,Netherlands
