ticker,company,country
ASKH,ASTIKA HOLDINGS INC,New Zealand
ANZFF,AIR NEW ZEALAND,New Zealand
ACOPF,THE A2 MILK COMPANY LTD,New Zealand
FSPKF,FISHER & PAYKEL HEALTHCARE CORP,New Zealand
SPKKY,SPARK NEW ZEALAND LTD SPON ADR,New Zealand
NZTCF,SPARK NEW ZEALAND LTD,New Zealand
ACKDF,AUCKLAND INTERNATIONAL AIRPORT,New Zealand
CHRYY,CHORUS LTD SPON ADR EACH REP 5,New Zealand
CRRLF,CHORUS LTD,New Zealand
KWIPF,KIWI PROPERTY GROUP LIMITED,New Zealand
PHPYF,PUSHPAY HOLDINGS,New Zealand
ACOPY,THE A2 MILK COMPANY LTD UNSPON,New Zealand
