ticker,company,country
TFECY,THIN FILM ELECTRONICS ASA,Norway
NHYDY,NORSK HYDRO ASA ADR-EACH CNV IN,Norway
TELNY,TELENOR ASA ADR EACH REPR 1 ORD,Norway
ORKLY,ORKLA ASA SPON ADR EACH REP 1 C,Norway
YARIY,YARA INTERNATIONAL ASA SPON ADR,Norway
DTNOF,DNO ASA,Norway
PGEJF,PGS ASA,Norway
NHYKF,NORSK HYDRO ASA,Norway
MNHVF,MOWI ASA,Norway
TMRAY,TOMRA SYSTEMS ASA SPON ADR REP,Norway
TMRAF,TOMRA SYSTEMS ASA,Norway
ABGSF,ABG SUNDAL COLLIER HLDG ASA,Norway
NWARF,NORWEGIAN AIR SHUTTLE ASA,Norway
ASCJF,AMSC ASA,Norway
TFECF,ENSURGE MICROPOWER ASA,Norway
STOHF,EQUINOR ASA,Norway
RNWEY,REC SILICON ASA UNSP ADS EACH R,Norway
RNWEF,REC SILICON ASA,Norway
PGSVY,PGS ASA SPON ADS EACH REP 1 ORD,Norway
DNHBY,DNB ASA,Norway
GJNSY,GJENSIDIGE FORSIKRING ASA UNSP,Norway
DNBHF,DNB ASA,Norway
ORKLF,ORKLA ASA,Norway
IDXAF,IDEX BIOMETRICS ASA,Norway
KHOTF,KAHOOT! ASA,Norway
OPRA,Opera Limited,Norway
NLLSF,NEL ASA,Norway
EQNR,Equinor ASA,Norway
AKCCF,AKER CARBON CAPTURE ASA,Norway
HPURF,HEXAGON PURUS ASA,Norway
AASZF,ATLANTIC SAPPHIRE ASA,Norway
MHGVY,MOWI ASA SPON ADS EACH REP 1 OR,Norway
ENMPY,ENSURGE MICROPOWER ASA SPON ADS,Norway
