ticker,company,country
JBFCF,JOLLIBEE FOODS CORP,Philippines
MGAWY,MEGAWORLD CORP UNSP ADR EA REPR,Philippines
SMGBF,SAN MIGUEL CORP,Philippines
UVRBF,UNIVERSAL ROBINA CORP,Philippines
BDOUY,BDO UNIBANK INC SPON ADR EA REP,Philippines
PGCMF,PUREGOLD PRICE CLUB INC,Philippines
DLNDY,D&L INDUSTRIES INC UNSP ADR EA,Philippines
LECBF,LEPANTO CONSOLIDATED MINING,Philippines
RRETY,ROBINSONS RETAIL HLDGS INC UNSP,Philippines
PHI,PLDT Inc. Sponsored,Philippines
CGSI,CGS INTERNATIONAL INC (US),Philippines
MPCFF,METRO PACIFIC INVESTMENTS CO,Philippines
