ticker,company,country
UOVEY,UNITED OVERSEAS BANK LTD SPON A,Singapore
STX,Seagate Technology Holdings PLC,Singapore
SE,Sea Limited,Singapore
CYD,China Yuchai International Limi,Singapore
DBSDY,DBS GROUP HLDGS LTD SPONS ADR E,Singapore
SPXCY,SINGAPORE EXCHANGE UNSP ADR EAC,Singapore
IFN,"India Fund, Inc. (The)",Singapore
PEFDF,DELFI LTD,Singapore
NS8U.SI,HPH Trust USD,Singapore
YY,JOYY Inc.,Singapore
JCYGY,JARDINE CYCLE & CARRIAGE LTD UN,Singapore
JCYCF,JARDINE CYCLE & CARRIAGE LTD,Singapore
KPELF,KEPPEL CORP,Singapore
WVE,Wave Life Sciences Ltd.,Singapore
SNGNF,SINGAPORE TELECOMMUNICATIONS,Singapore
SGLMF,STARHILL GLOBAL REAL ESTATE INV,Singapore
WLMIF,WILMAR INTERNATIONAL LTD,Singapore
WLMIY,WILMAR INTERNATIONAL LTD UNSP A,Singapore
ACDSF,CAPITALAND ASCENDAS REIT,Singapore
ACNDF,CAPITALAND INDIA TRUST,Singapore
GARPF,GOLDEN AGRI RESOURCES,Singapore
SINGY,SINGAPORE AIRLINES UNSP ADR EAC,Singapore
SINGF,SINGAPORE AIRLINES,Singapore
FNEVF,FRASER & NEAVE,Singapore
ASMVY,ASMPT LIMITED UNSP ADR EACH REP,Singapore
NAHD,NEW ASIA HOLDINGS INC,Singapore
CDEVY,CITY DEVELOPMENTS SPND ADR-EACH,Singapore
CDEVF,CITY DEVELOPMENTS,Singapore
FSRPF,FRASERS PROPERTY LIMITED,Singapore
CGIUF,ESR-LOGOS REIT,Singapore
CLLDF,CAPITALAND LTD,Singapore
CLLDY,CAPITALAND LTD,Singapore
CSCMY,COSCO SHIPPING INTERNATIONAL CO,Singapore
CSYJF,CSE GLOBAL LTD,Singapore
DBSDF,DBS GROUP HLDGS LTD,Singapore
SGGKY,SINGAPORE TECHNOLOGIES ENGINEER,Singapore
SGGKF,SINGAPORE TECHNOLOGIES ENGINEER,Singapore
SPXCF,SINGAPORE EXCHANGE,Singapore
HCTPF,HUTCHISON PORT HOLDINGS TRUST,Singapore
KREVF,KEPPEL REIT,Singapore
KPELY,KEPPEL CORP SPON ADR-EACH CNV I,Singapore
OVCHY,OVERSEA-CHINESE BANKING CORP UN,Singapore
SMBMF,SEATRIUM LTD,Singapore
UOVEF,UNITED OVERSEAS BANK LTD,Singapore
SPASF,SATS LTD,Singapore
SGAPY,SINGAPORE TELECOMMUNICATIONS NE,Singapore
SMBMY,SEATRIUM LTD UNSP ADR EACH REPR,Singapore
UOLGF,UOL GROUP LIMITED,Singapore
UOLGY,UOL GROUP LIMITED SPND LVL1 ADR,Singapore
CAN,Canaan Inc.,Singapore
TRIT,"Triterras, Inc.",Singapore
TCOM,Trip.com Group Limited,Singapore
MAXN,"Maxeon Solar Technologies, Ltd.",Singapore
COE,51Talk Online Education Group,Singapore
LGHL,Lion Group Holding Ltd.,Singapore
EQOS,EQONEX LIMITED,Singapore
FNGR,"FingerMotion, Inc.",Singapore
LITB,"LightInTheBox Holding Co., Ltd.",Singapore
ASLN,ASLAN Pharmaceuticals Limited,Singapore
SCPE,SC Health Corporation,Singapore
GRIN,Grindrod Shipping Holdings Ltd.,Singapore
BONZ,BONANZA GOLDFIELDS CORP,Singapore
FAX,592314,Singapore
KEN,Kenon Holdings Ltd.,Singapore
TDCX,TDCX Inc.,Singapore
FRLOF,FRASERS LOG & COMMERCIAL TRUST,Singapore
GFAI,"Guardforce AI Co., Limited",Singapore
SOPA,Society Pass Incorporated,Singapore
GRAB,Grab Holdings Limited,Singapore
TRIRF,"Triterras, Inc.",Singapore
GNS,Genius Group Limited,Singapore
JCSE,JE Cleantech Holdings Limited,Singapore
MAPGF,MAPLETREE LOGISTICS TRUST,Singapore
BTOG,Bit Origin Limited,Singapore
SAI,SAI.TECH Global Corporation,Singapore
HHGC,HHG Capital Corporation,Singapore
TINV,Tiga Acquisition Corp.,Singapore
EUDA,Euda Health Holdings Limited,Singapore
CACO,Caravelle International Group,Singapore
LCAA,L Catterton Asia Acquisition Co,Singapore
OMH,Ohmyhome Limited,Singapore
ALRTF,ALR TECHNOLOGIES SG PTE LTD,Singapore
GDTC,CytoMed Therapeutics Limited,Singapore
MWG,Multi Ways Holdings Limited,Singapore
JEQ,"Aberdeen Japan Equity Fund, Inc",Singapore
