ticker,company,country
TBLMY,TIGER BRANDS SPON ADR EA REP 1,South Africa
HMY,Harmony Gold Mining Company Lim,South Africa
DRD,DRDGOLD Limited,South Africa
GFI,Gold Fields Limited,South Africa
MTNOY,MTN GROUP LTD ADR EACH REPR 1 O,South Africa
NDBKY,NEDBANK GROUP LIMITED SPON ADR-,South Africa
BDVSY,BIDVEST GROUP LTD ADR EACH REPR,South Africa
SGBLY,STANDARD BANK GROUP LIMITED SPO,South Africa
MTNOF,MTN GROUP LTD,South Africa
SRGHY,SHOPRITE HOLDINGS ADR EACH REPR,South Africa
WLWHY,WOOLWORTHS HLDGS SPONS GDR EACH,South Africa
LSAK,"Lesaka Technologies, Inc.",South Africa
JSEJF,JSE LIMITED,South Africa
KIROY,KUMBA IRON ORE LTD ADR EACH REP,South Africa
SSL,Sasol Ltd.,South Africa
SPPJY,SAPPI ADR EACH REPR 1 ORD ZAR1,South Africa
LEAT,LEATT CORPORATION,South Africa
NPSNY,NASPERS SPON ADR EACH REP 0.2 C,South Africa
SLLDY,SANLAM LTD ADR EACH REPR 2 SHS,South Africa
AGRPY,ABSA GROUP LTD SPON ADR EA REPR,South Africa
PAFRF,PAN AFRICAN RESOURCES,South Africa
AMSIY,ARCELORMITTAL SOUTH AFRICA LIMI,South Africa
APNHY,ASPEN PHARMACARE HLDGS UNSP ADR,South Africa
BRRAY,BARLOWORLD ADR-EACH CNV INTO 1,South Africa
SBGOF,STANDARD BANK GROUP LIMITED,South Africa
FBMCF,BUFFALO COAL CORPORATION,South Africa
CLCGY,CLICKS GROUP LTD SPON ADR EA RE,South Africa
LTGHY,LIFE HEALTHCARE GROUP HOLDINGS,South Africa
IMPUY,IMPALA PLATINUM HLDGS SPON ADR,South Africa
MRPLY,MR.PRICE GROUP SPON ADR EACH RE,South Africa
VDMCY,VODACOM GROUP LIMITED SPON ADR,South Africa
SBSW,D/B/A Sibanye-Stillwater Limite,South Africa
BDDDY,BID CORPORATION LIMITED SPON AD,South Africa
ANGPY,ANGLO AMERICAN PLATINUM LTD SPO,South Africa
