ticker,company,country
MX,Magnachip Semiconductor Corpora,South Korea
KEP,Korea Electric Power Corporatio,South Korea
LPL,"LG Display Co, Ltd AMERICAN DEP",South Korea
SKM,"SK Telecom Co., Ltd.",South Korea
KT,KT Corporation,South Korea
KB,KB Financial Group Inc,South Korea
HYMTF,HYUNDAI MOTOR CO GDR EACH REP 1,South Korea
PKX,POSCO Holdings Inc.,South Korea
BC94.L,SAMSUNG ELECTRONICS CO LTD (ATT,South Korea
GRVY,"GRAVITY Co., Ltd.",South Korea
DDI,"DoubleDown Interactive Co., Ltd",South Korea
WF,Woori Financial Group Inc.,South Korea
