ticker,company,country
BBVA,Banco Bilbao Vizcaya Argentaria,Spain
AMADY,AMADEUS IT GROUP SA UNSP ADS EA,Spain
SAN,"Banco Santander, S.A. Sponsored",Spain
IDEXY,INDITEX (IND.DE DISENO TEXTIL S,Spain
BNDSY,BANCO DE SABADELL SA UNSP ADR E,Spain
PRISY,PROMOTORA DE INFORMACIONES(PRIS,Spain
BNDSF,BANCO DE SABADELL SA,Spain
IDEXF,INDITEX (IND.DE DISENO TEXTIL S,Spain
RDEIY,REDEIA CORPORACION SA UNSP ADR,Spain
ELEZY,ENDESA SA UNSP ADR EA REPR 0.50,Spain
GRFS,"Grifols, S.A.",Spain
GIFLF,GRIFOLS SA,Spain
GIKLY,GRIFOLS SA SPON ADR EA REPR 1/2,Spain
REPYY,REPSOL SA SPON ADR-EACH CNV INT,Spain
TEF,Telefonica SA,Spain
IBDRY,IBERDROLA SA SPON ADR EACH REP,Spain
TEFOF,TELEFONICA SA,Spain
ACSAY,ACS ACTIVIDADES DE CONSTRUCCION,Spain
ANIOY,ACERINOX SA ADR EACH REPR 0.50,Spain
AMADF,AMADEUS IT GROUP SA,Spain
BBVXF,BANCO BILBAO VIZCAYA ARGENTARIA,Spain
BKNIY,BANKINTER SA ADR EACH REPR 1 OR,Spain
BCDRF,BANCO SANTANDER SA,Spain
BKIMF,BANKINTER SA,Spain
CAIXY,CAIXABANK SA UNSP ADR EA REPR 1,Spain
EDRVF,EDP RENOVAVEIS SA,Spain
IMQCF,INMOBILIARIA COLONIAL SOCIMI S.,Spain
FRRVY,FERROVIAL SA UNSP ADR EACH REP,Spain
GCTAF,SIEMENS GAMESA RENEWABLE ENERGY,Spain
GCTAY,SIEMENS GAMESA RENEWABLE ENERGY,Spain
GASNY,NATURGY ENERGY GROUP S.A. UNSPO,Spain
IBDSF,IBERDROLA SA,Spain
MPFRF,MAPFRE SA,Spain
REPYF,REPSOL SA,Spain
ENGGY,ENAGAS SA UNSP ADR EACH REP 0.5,Spain
WBX,Wallbox N.V.,Spain
CLLNY,CELLNEX TELECOM SAU UNSPON ADR,Spain
