ticker,company,country
ALV,"Autoliv, Inc.",Sweden
ELUXY,ELECTROLUX AB ADR EACH REP 2 SE,Sweden
SKFRY,SKF AB SPON ADR(CNV 1 SER'B'NPV,Sweden
GNGBY,GETINGE AB UNSP ADR EACH REPR 1,Sweden
ASAZY,ASSA ABLOY UNSP ADR EA REPR 0.5,Sweden
SVNLF,SVENSKA HANDELSBANKEN AB,Sweden
SKBSY,SKANSKA AB SPON ADR EA REPR 1 O,Sweden
HXGBY,HEXAGON AB ADR EACH REPR 1 ORD,Sweden
ALFVY,ALFA LAVAL AB UNSP ADR EACH REP,Sweden
ERIC,Ericsson,Sweden
ERIXF,ERICSSON,Sweden
TLSNY,TELIA COMPANY AB UNSP ADR EACH,Sweden
SKUFF,SKF AB,Sweden
SDVKY,SANDVIK AB ADR-EACH REPR 1 ORD,Sweden
SDVKF,SANDVIK AB,Sweden
LNDNF,ORRON ENERGY AB,Sweden
ATLCY,ATLAS COPCO AB ADR-CNV INTO 1 S,Sweden
SWMAY,SWEDISH MATCH AB UNSP ADS EACH,Sweden
SWMAF,SWEDISH MATCH AB,Sweden
SWDBY,SWEDBANK AB ADR EACH REP 1 SER',Sweden
SWDBF,SWEDBANK AB,Sweden
SVKEF,SKANDINAVISKA ENSKILDA BANKEN,Sweden
SSAAY,SSAB AB UNSP ADR EA REPR 0.5 OR,Sweden
SCTBF,SECURITAS AB,Sweden
HXGBF,HEXAGON AB,Sweden
HSQVY,HUSQVARNA AB SPONS ADR EACH REP,Sweden
HMRZF,HENNES & MAURITZ,Sweden
HLSPY,HELIOSPECTRA AB,Sweden
EKTAY,ELEKTA UNSP ADR EACH REPR 1 ORD,Sweden
BDNNY,BOLIDEN AB UNSP ADR EACH REPR 2,Sweden
ATLKY,ATLAS COPCO AB ADR-CNV INTO 1 S,Sweden
ATLKF,ATLAS COPCO AB,Sweden
ASAZF,ASSA ABLOY,Sweden
IVSBF,INVESTOR AB,Sweden
TBIIF,TOBII AB,Sweden
VOLVF,VOLVO(AB),Sweden
HUSQF,HUSQVARNA AB,Sweden
VLVLY,VOLVO(AB) UNSP ADR EACH REP 1 O,Sweden
BLRDF,BILLERUD AKTIEBOLAG,Sweden
SVNLY,SVENSKA HANDELSBANKEN AB ADR EA,Sweden
HNNMY,HENNES & MAURITZ SPON ADR EACH,Sweden
SVCBF,SVENSKA CELLULOSA AB-SCA,Sweden
TLSNF,TELIA COMPANY AB,Sweden
VNE,"Veoneer, Inc.",Sweden
OTLY,Oatly Group AB,Sweden
OLK,Olink Holding AB (publ),Sweden
CALT,Calliditas Therapeutics AB,Sweden
NEON,Neonode Inc.,Sweden
EVVTY,EVOLUTION AB UNSP ADR EACH REPR,Sweden
PSNY,Polestar Automotive Holding UK,Sweden
PSNYW,Polestar Automotive Holding UK,Sweden
ARCNF,ARCARIO AB,Sweden
ATLPF,ATLAS COPCO AB,Sweden
NDRBF,NIBE INDUSTRIER AB,Sweden
SASBQ,SAS AB UNSP ADR EACH REPR 2 SHS,Sweden
