ticker,company,country
NVS,Novartis AG,Switzerland
CS,Credit Suisse Group,Switzerland
UBS,UBS Group AG Registered,Switzerland
ABB,ABB Ltd,Switzerland
RHHBY,ROCHE HOLDINGS AG SPN ADR EACH,Switzerland
ZURVY,ZURICH INSURANCE GROUP AG SPON,Switzerland
SWGAY,SWATCH GROUP ADR EACH REPR 0.05,Switzerland
SAUHF,STRAUMANN HOLDING AG,Switzerland
NVSEF,NOVARTIS AG,Switzerland
JBAXY,JULIUS BAER GRUPPE AG UNSP ADR,Switzerland
CB,Chubb Limited,Switzerland
TEL,TE Connectivity Ltd. New Switze,Switzerland
DUFRY,DUFRY AG UNSP ADR EA REPR 0.10,Switzerland
ELVAF,EVOLVA HOLDING SA,Switzerland
FEEXF,FERREXPO PLC,Switzerland
GRMN,Garmin Ltd.,Switzerland
GB,Global Blue Group Holding AG,Switzerland
LZAGF,LONZA GROUP AG,Switzerland
GLNCY,GLENCORE PLC UNSPON ADR EA REPR,Switzerland
LZAGY,LONZA GROUP AG UNSP ADR EACH RE,Switzerland
HCMLY,HOLCIM LTD SPON ADS EACH REPR 0,Switzerland
HCMLF,HOLCIM LTD,Switzerland
SZLMY,SWISS LIFE HOLDING AG UNSP ADR,Switzerland
SONVY,SONOVA HOLDING AG UNSP ADR EACH,Switzerland
RHHVF,ROCHE HOLDINGS AG,Switzerland
KHNGY,KUEHNE & NAGEL INTERNATIONAL AG,Switzerland
RIG,Transocean Ltd (Switzerland),Switzerland
LOGI,Logitech International S.A. - R,Switzerland
QTNT,Quotient Limited,Switzerland
SSREY,SWISS RE AG SPON ADR EACH REPR,Switzerland
MYMX,MYMETICS CORPORATION,Switzerland
STM,STMicroelectronics N.V.,Switzerland
NSRGY,NESTLE SA SPON ADR EACH REPR 1,Switzerland
NSRGF,NESTLE SA,Switzerland
OCTX,OCTAGON 88 RESOURCES INC,Switzerland
ABLZF,ABB LTD,Switzerland
AHEXY,ADECCO GROUP AG UNSP ADR EACH R,Switzerland
SCMWY,SWISSCOM AG SPON LVL3 ADR EACH,Switzerland
GMHLF,GAM HOLDING AG,Switzerland
CCHGY,COCA-COLA HBC AG UNSPON ADR EAC,Switzerland
ARZTY,ARYZTA AG UNSP ADR EACH REP 1/2,Switzerland
ARZTF,ARYZTA AG,Switzerland
GBERY,GEBERIT AG UNSP ADR EA REPR 0.1,Switzerland
MYBUF,MEYER BURGER TECHNOLOGY AG,Switzerland
CSGKF,CREDIT SUISSE GROUP,Switzerland
SKFOF,SIKA AG,Switzerland
SAUHY,STRAUMANN HOLDING AG UNSP ADS E,Switzerland
SXYAY,SIKA AG UNSP ADR EACH REP 0.10,Switzerland
CFRUY,COMPAGNIE FINANCIERE RICHEMONT,Switzerland
CFRHF,COMPAGNIE FINANCIERE RICHEMONT,Switzerland
GVDNY,GIVAUDAN SA ADR EACH 50 REPR 1,Switzerland
GLCNF,GLENCORE PLC,Switzerland
STMEF,STMICROELECTRONICS,Switzerland
SGSOY,SGS SA UNSP ADR EACH REPR 0.01,Switzerland
CRSP,CRISPR Therapeutics AG,Switzerland
RLFTF,RELIEF THERAPEUTICS HOLDING AG,Switzerland
OBSV,ObsEva SA,Switzerland
AMCR,Amcor plc,Switzerland
ACIU,AC Immune SA,Switzerland
ADCT,ADC Therapeutics SA,Switzerland
WKEY,WISeKey International Holding L,Switzerland
GTX,Garrett Motion Inc.,Switzerland
ALC,Alcon Inc.,Switzerland
NLSP,NLS Pharmaceutics Ltd.,Switzerland
CYAP,CYBER APPS WORLD INC,Switzerland
SRAD,Sportradar Group AG,Switzerland
ONON,On Holding AG,Switzerland
TMSNY,TEMENOS AG SPON ADR EA REPR 1 O,Switzerland
MOLN,Molecular Partners AG,Switzerland
VECT,VectivBio Holding AG,Switzerland
ADXN,Addex Therapeutics Ltd,Switzerland
MLTX,MoonLake Immunotherapeutics,Switzerland
ACLLY,ACCELLERON INDUSTRIES AG UNSPON,Switzerland
GGAA,Genesis Growth Tech Acquisition,Switzerland
SOPH,SOPHiA GENETICS SA,Switzerland
QTNTQ,QUOTIENT LTD,Switzerland
RLFFD,RELIEF THERAPEUTICS HOLDING AG,Switzerland
LAESV,SEALSQ Corp Ordinary Shares Whe,Switzerland
LAES,SEALSQ Corp,Switzerland
ABBNY,ABB Ltd,Switzerland
