ticker,company,country
TSM,Taiwan Semiconductor Manufactur,Taiwan
IMOS,ChipMOS TECHNOLOGIES INC.,Taiwan
UMC,United Microelectronics Corpora,Taiwan
CHT,"Chunghwa Telecom Co., Ltd.",Taiwan
HIMX,"Himax Technologies, Inc.",Taiwan
HNHPF,HON HAI PRECISION INDUSTRY SPON,Taiwan
ASX,"ASE Technology Holding Co., Ltd",Taiwan
LEDS,SemiLEDS Corporation,Taiwan
AUOTY,AUO CORPORATION,Taiwan
GIGM,GigaMedia Limited,Taiwan
APWC,Asia Pacific Wire & Cable Corpo,Taiwan
GGR,Gogoro Inc.,Taiwan
NCRA,"Nocera, Inc.",Taiwan
PAQC,Provident Acquisition Corp.,Taiwan
PERF,Perfect Corp.,Taiwan
FITGF,FIT HON TENG LTD,Taiwan
JMAC,Maxpro Capital Acquisition Corp,Taiwan
CRKT,CIRMAKER TECHNOLOGY CORPORATION,Taiwan
