ticker,company,country
PEXNY,PTT EXPLORATION & PRODUCTION PU,Thailand
AIPUY,AIRPORTS OF THAILAND PUBLIC CO,Thailand
SMUUY,SIAM COMMERCIAL BANK UNSP ADR E,Thailand
KTHAF,KRUNG THAI BANK PUBLIC CO LTD N,Thailand
TAWNF,THAI AIRWAY INTL PUBLIC CO,Thailand
MCGRF,MAJOR CINEPLEX GROUP PUBLIC COM,Thailand
APTPF,AIRPORTS OF THAILAND PUBLIC CO,Thailand
BKKPF,BANGKOK BANK PUBLIC CO,Thailand
BKKLY,BANGKOK BANK PUBLIC CO UNSP ADR,Thailand
CVPUF,CP ALL PUBLIC COMPANY LIMITED T,Thailand
KPCPY,KASIKORNBANK PUBLIC COMPANY LIM,Thailand
TBVPF,THAI BEVERAGE PUBLIC COMPANY LT,Thailand
NOKPF,NOK AIRLINES PUBLIC COMPANY LIM,Thailand
ZAPP,Zapp Electric Vehicles Group Li,Thailand
