ticker,company,country
AZN,Astrazeneca PLC,United Kingdom
BTI,British American Tobacco  Indus,United Kingdom
ADAP,Adaptimmune Therapeutics plc,United Kingdom
BP,BP p.l.c.,United Kingdom
BCS,Barclays PLC,United Kingdom
LYG,Lloyds Banking Group Plc,United Kingdom
BAESY,BAE SYSTEMS SPON ADR EA REP 4 O,United Kingdom
PLPL,PLANDAI BIOTECHNOLOGY INC,United Kingdom
RBGLY,RECKITT BENCKISER GROUP PLC SPO,United Kingdom
BZLFY,BUNZL SPON ADR EACH REP 1 ORD,United Kingdom
IMBBY,IMPERIAL BRANDS PLC SPON ADR EA,United Kingdom
CNHI,CNH Industrial N.V.,United Kingdom
WTW,Willis Towers Watson Public Lim,United Kingdom
DEO,Diageo plc,United Kingdom
DIISY,DIRECT LINE INSURANCE GROUP PLC,United Kingdom
BTDPF,BARRATT DEVELOPMENTS,United Kingdom
RYDAF,SHELL PLC,United Kingdom
RCKHF,ROCKHOPPER EXPLORATION,United Kingdom
GSM,Ferroglobe PLC,United Kingdom
NOMD,Nomad Foods Limited,United Kingdom
ASBFF,ASSOCIATED BRITISH FOODS,United Kingdom
VOD,Vodafone Group Plc,United Kingdom
GSK,GSK plc,United Kingdom
IGT,International Game Technology,United Kingdom
NGG,"National Grid Transco, PLC Nati",United Kingdom
MAKSY,MARKS & SPENCER GROUP SPON ADR,United Kingdom
CMPGY,COMPASS GROUP PLC SPON ADR EACH,United Kingdom
UUGRY,UNITED UTILITIES GROUP PLC ADR,United Kingdom
PEGRY,PENNON GROUP UNSP ADR EACH REP,United Kingdom
GWPRF,GW PHARMACEUTICALS,United Kingdom
GLAXF,GSK PLC,United Kingdom
BTGOF,BT GROUP,United Kingdom
VEGPF,VECTURA GROUP,United Kingdom
SGPYY,SAGE GROUP UNSPON ADR EA REPR 4,United Kingdom
LSGOF,LAND SECURITIES GROUP,United Kingdom
LLDTF,LLOYDS BANKING GROUP,United Kingdom
HSBC,"HSBC Holdings, plc.",United Kingdom
NVGS,Navigator Holdings Ltd.,United Kingdom
VICA,RAFINA INNOVATIONS INC,United Kingdom
RYCEY,ROLLS ROYCE HOLDINGS SPON ADR E,United Kingdom
RYCEF,ROLLS ROYCE HOLDINGS,United Kingdom
HUMRF,HUMMINGBIRD RESOURCES PLC,United Kingdom
HBCYF,HSBC HOLDINGS PLC,United Kingdom
JSNSF,SAINSBURY(J),United Kingdom
JSAIY,SAINSBURY(J) SPON ADR EACH REP,United Kingdom
JMPLY,JOHNSON MATTHEY SPON ADR EACH R,United Kingdom
WDGJF,JOHN WOOD GROUP PLC,United Kingdom
KNOP,KNOT Offshore Partners LP,United Kingdom
KGFHY,KINGFISHER SPON ADR EACH REP 2,United Kingdom
KGFHF,KINGFISHER,United Kingdom
MIME,Mimecast Limited,United Kingdom
LIVN,LivaNova PLC,United Kingdom
TATYY,TATE & LYLE SPON ADR EACH REP 4,United Kingdom
MANU,Manchester,United Kingdom
INFO,IHS Markit Ltd.,United Kingdom
MRWSF,MORRISON(WM.)SUPERMARKETS,United Kingdom
ROYMY,INTL DISTRIBUTIONS SVCS PLC UNS,United Kingdom
SNN,"Smith & Nephew SNATS, Inc.",United Kingdom
NGLOY,ANGLO AMERICAN SPON ADR EACH RE,United Kingdom
SNNUF,SMITH & NEPHEW,United Kingdom
NGGTF,NATIONAL GRID,United Kingdom
TUWOY,TULLOW OIL PLC SPON ADR EACH RE,United Kingdom
TUWLF,TULLOW OIL PLC,United Kingdom
RIO,Rio Tinto Plc,United Kingdom
UL,Unilever PLC,United Kingdom
PNR,Pentair plc.,United Kingdom
PSO,"Pearson, Plc",United Kingdom
SPMYY,SPIRENT COMMUNICATIONS SPON ADR,United Kingdom
SCBFF,STANDARD CHARTERED PLC,United Kingdom
RTOKY,RENTOKIL INITIAL ADR EACH REP 5,United Kingdom
BTVCY,BRITVIC SPON ADR EA REPR 2 ORD,United Kingdom
BPAQF,BP,United Kingdom
BCLYF,BARCLAYS PLC,United Kingdom
TGTNF,TUNGSTEN CORP PLC,United Kingdom
SSEZY,SSE PLC SPON ADR REP 1 ORD GBP0,United Kingdom
SEPGY,SUPERDRY PLC UNSP ADR EACH REPR,United Kingdom
LRSV,LINK RESERVATIONS INC,United Kingdom
